name,name_id,edu_type,university,university_id,qualification,award_date
Professor Doctor Adam Budnikowski,1677537,Education,Uniwersytet Ekonomiczny w Poznaniu (Pozna University of Economics),894055,MSc,1971-01-01
Tibor Menyhert,1677539,Education,New Jersey Institute of Technology (NJIT),61413,BSET,1993-01-01
Tibor Menyhert,1677539,Education,Stevens Institute of Technology (SIT),61960,Masters Degree,2000-01-01
Ivan Grbesic,1677540,Education,Ottawa University,801721,LLB,2000-01-01
Ivan Grbesic,1677540,Education,Laurentian University,482635,BA (Hons),1997-01-01
Raoul Ilaw,1677541,Professional Qualifications,National Society of Professional Engineers (NSPE),74898,Licensed Professional Engineer,
Raoul Ilaw,1677541,Professional Qualifications,Construction Management Association of America (CMAA),800993,Certified Construction Manager,
Raoul Ilaw,1677541,Education,City College of New York (CCNY),60368,BE,
Raoul Ilaw,1677541,Education,Polytechnic Institute of New York University (Formerly known as Polytechnic Institute of Brooklyn),82511,MS,
Jess Porter,1677542,Education,Oklahoma State University,61531,BS,2000-01-01
Lindsey Goodgion,1677543,Education,University of Texas at Austin,62742,BA,2006-01-01
Lindsey Goodgion,1677543,Education,McCombs School of Business University of Texas at Austin,466303,MBA,2008-01-01
Michael Shapiro,1677545,Education,Texas A&M University,62040,BS,1977-01-01
Michael Shapiro,1677545,Professional Qualifications,National Society of Professional Engineers (NSPE),74898,Licensed Professional Engineer,
Michael Shapiro,1677545,Education,Arizona State University,60074,Masters Degree,1981-01-01
Jason Webster,1677546,Education,Trinity University San Antonio Texas,109566,BS,2002-01-01
David Townsend,1677547,Education,Prairie View A&M University,97057,BS (cum laude),1998-01-01
Michelle Bennett,1677548,Education,Northeastern University,61472,BS,1991-01-01
Michelle Bennett,1677548,Education,Martin J Whitman School of Management Syracuse University,1231051,MBA,1995-01-01
Mike Muse,1677549,Education,Louisiana State University (LSU),61181,BS,1994-01-01
Mike Muse,1677549,Education,Louisiana State University (LSU),61181,MS,1996-01-01
Shannon Hansen,1677550,Education,Carnegie Mellon University,41519,Bachelor's Degree,1987-01-01
Shannon Hansen,1677550,Education,Stanford University School of Law,77691,JD,1994-01-01
Shawn Cutter,1677551,Education,Miami University Ohio,61276,BA,2003-01-01
Shawn Cutter,1677551,Education,Miami University Ohio,61276,BS,2003-01-01
Dan Brown,1677552,Education,University of Alberta,62142,MA,2009-01-01
Dan Brown,1677552,Education,Lakehead University,537844,BCom,1997-01-01
Dan Brown,1677552,Professional Qualifications,Rapport Leadership International LLC,1995056,Masters Degree,
Jan Turner,1677553,Professional Qualifications,Construction Manager Certification Institute (CMCI),1542940,Certified Construction Manager,2014-01-01
Jan Turner,1677553,Education,Black Hawk College,786130,Associate Degree,1974-01-01
Jan Turner,1677553,Professional Qualifications,Leadership in Energy and Environmental Design (LEED),1568031,LEED Accredited Professional,
Jan Turner,1677553,Education,Western Illinois University,63488,BA,1986-01-01
Ken Champion,1677554,Education,Central Connecticut State University (CCSU),79778,BS,1979-01-01
Omar Khan,1677555,Education,Johns Hopkins University,61026,BS (Hons),2001-01-01
Omar Khan,1677555,Education,Johns Hopkins University,61026,MS (Hons),2003-01-01
Omar Khan,1677555,Education,Columbia Law School,64891,JD,2006-01-01
Brian Miller,1677556,Education,Massachusetts Institute of Technology (MIT),40436,BS,1986-01-01
Brian Miller,1677556,Education,Stanford University Graduate School of Business,67360,MBA,1991-01-01
Luigi Brasacchio,1677557,Professional Qualifications,New York State Society of Professional Engineers (NYSSPE) Inc,584382,PEng,
Luigi Brasacchio,1677557,Education,City College of New York (CCNY),60368,BS,
Juliette Harrhy,1677558,Education,University of Chester Law School,1335210,Degree (Hons),1991-01-01
Juliette Harrhy,1677558,Education,London School of Economics (LSE) (London School of Economics and Political Science),38522,BSc (Hons),1988-01-01
Rachel Meranus,1677559,Education,Union College,62108,BA,1995-01-01
Eric Sedlak,1677560,Education,Haverford College,60834,BA (Hons),1980-01-01
Eric Sedlak,1677560,Education,New York University School of Law,574794,JD,1984-05-01
Scott Jones,1677561,Education,Columbia University,60434,MBA,1987-05-01
Scott Jones,1677561,Education,Columbia University,60434,JD,1987-01-01
Scott Jones,1677561,Education,University of California at Santa Cruz,99912,BA,1980-06-01
Andrew Nason,1677563,Education,University of North Carolina (UNC),40198,Degree,1978-01-01
Andrew Nason,1677563,Education,University of Michigan,63187,Graduated,1975-01-01
Sarah Marmor,1677566,Education,Northwestern University Pritzker School of Law,638744,JD (magna Cum Laude),1993-01-01
Sarah Marmor,1677566,Education,Princeton University,61632,BA (magna cum laude),1987-01-01
Jeannie Mun,1677568,Education,University of California Los Angeles (UCLA),62218,BA (Hons),1998-01-01
Jeannie Mun,1677568,Education,Harvard Business School,63013,MBA,2003-01-01
Amy Hay,1677569,Education,Houston Baptist University,260392,MS,1999-01-01
Amy Hay,1677569,Education,Southwestern University,481229,BA,1996-01-01
Tim Koubek,1677570,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Tim Koubek,1677570,Education,College of Saint Rose,84377,BS,1989-01-01
Becca Lindegren,1677571,Education,University of New Hampshire,62520,BS,2007-01-01
Becca Lindegren,1677571,Education,University of Westminster (Polytechnic of Central London prior to 1992),62799,Studied,2006-01-01
Derek Snyder,1677572,Education,Le Moyne College,86862,BSc,
