name,name_id,edu_type,university,university_id,qualification,award_date
Doctor Jie Cheng,1477927,Education,University of Michigan,63187,MS,1985-01-01
Doctor Jie Cheng,1477927,Education,University of Michigan,63187,PhD,1991-01-01
Gary Steele,1477928,Education,Colorado School of Mines (CSM),60430,MSc,
Gary Steele,1477928,Education,Colorado School of Mines (CSM),60430,PEng,
Antoine de Kerviler,1477932,Education,cole De Hautes tudes Commerciales du Nord (EDHEC) (EDHEC Business School),272931,Graduated,1988-06-01
Antoine de Kerviler,1477932,Education,Ecole des Hautes Etudes d'Ingenieur (HEI),1073446,Executive MBA,2002-01-01
Kevin Reilly,1477933,Education,Cornell University,60457,BS,1984-01-01
Adam Denenberg,1477934,Education,University of Albany,80174,Degree,
Glen Margolis,1477935,Education,Harvard Graduate School of Design,487547,Completed,
Glen Margolis,1477935,Education,John F Kennedy School of Government Harvard University,37676,Masters Degree,1993-01-01
Glen Margolis,1477935,Education,Harvard Business School,63013,Completed,
Glen Margolis,1477935,Education,Webb Institute,81405,BS,1985-01-01
Takero Torigoe,1477936,Education,Tokyo Institute of Technology,81924,BE,1993-03-01
Lori Gaffney,1477940,Education,Boston University,60195,BS,
Bob Hoyt,1477941,Education,University of Massachusetts Amherst (UMA),62456,BS,1980-01-01
John Pindred,1477942,Education,University of Arizona (UOA),62155,MBA,1995-01-01
John Pindred,1477942,Education,Queen's University,63329,BSc,1989-01-01
John Pindred,1477942,Professional Qualifications,Institute of Chartered Financial Analysts (ICFA) (USA),41274,CFA,
Dave Wildermuth,1477945,Education,University of Maryland College Park,62449,BS,1985-01-01
Dave Wildermuth,1477945,Education,Kellogg School of Management Northwestern University,77878,MBA,2001-01-01
Dan Gilmartin,1477946,Education,Villanova University,62858,Graduated,
Richard Ko,1477948,Professional Qualifications,Canadian Institute of Chartered Accountants (CICA),56019,CA,1979-01-01
Richard Ko,1477948,Education,University of Victoria,62774,BA,1974-01-01
Mark Orttung,1477949,Education,Stanford University,61935,BS,1988-01-01
Mark Orttung,1477949,Education,Northwestern University,61494,MS,1991-01-01
Joseph Ng,1477951,Education,National University of Singapore (The),61399,Degree,1984-01-01
Chris Rezendes,1477952,Education,Bridgewater State College,481855,Bachelor's Degree,1993-01-01
David McDougall,1477953,Education,Valdosta State University,257076,Degree,1992-01-01
John Marshall,1477954,Education,Duke University,60547,BSE (summa cum laude),1981-01-01
John Marshall,1477954,Education,Harvard Business School,63013,MBA (Distinction),1985-01-01
Galen Oelkers,1479614,Education,University of Kansas,80243,MS,
Britt Jensen,1477956,Education,Handelshjskolen i Kbenhavn (Copenhagen Business School),63304,MSc,2000-01-01
Britt Jensen,1477956,Education,Ealing Hammersmith & West London College,1738474,Studied,1992-01-01
Britt Jensen,1477956,Education,Solvay Brussels School of Economics & Management (Ecole de Commerce Solvay),63751,MBA,1998-01-01
Scott Wallington,1477957,Education,Northern Michigan University,61478,BS,1988-01-01
Jeannine Gant,1477959,Education,Wayne State University,80234,MA,
Susan Ward,1477963,Education,Villanova University,62858,Bachelor's Degree,1980-01-01
Susan Ward,1477963,Education,Wharton School University of Pennsylvania,64966,MBA (Distinction),1984-01-01
Greg Smith,1477964,Education,Ohio State University (OSU),61523,BS,
Michele Joy,1477965,Education,Carleton College,60282,BA,1977-01-01
Michele Joy,1477965,Education,University of America,753500,JD,
Widad Leal,1477967,Education,California State University (CSU),60252,BA,1984-01-01
Andrew Wilson,1477968,Education,Princeton University,61632,BSE (cum laude),2006-01-01
Andrew Wilson,1477968,Education,Harvard Business School,63013,MBA,2014-01-01
Kevin Nichols,1477969,Education,San Diego State University (SDSU),61775,BS,1990-01-01
Kevin Nichols,1477969,Education,Rice University,61692,MBA,2001-01-01
Matt Asperheim,1477971,Education,Stephen M Ross School of Business University of Michigan (University of Michigan Business School prior to 09/2004),747221,BBA (Distinction),2011-01-01
Lori Muratta,1477972,Education,Georgetown University,60750,BS (cum laude),
Lori Muratta,1477972,Education,Harvard Law School,63035,JD (Cum Laude),1991-06-01
Jeff McNerney,1477973,Education,Claremont McKenna College,87047,BA (magna cum laude),
Gabriel Stacy,1477975,Education,Carroll School of Management Boston College,117631,BA (Hons),2012-01-01
Gabriel Stacy,1477975,Education,Boston College,60193,BS,
Doctor Paul Goodfellow,1477977,Professional Qualifications,American Institute of Mining Metallurgical & Petroleum Engineers (AIME),94646,Chartered Engineer,
Doctor Paul Goodfellow,1477977,Education,Camborne School of Mines University of Exeter,491111,BEng,
Doctor Paul Goodfellow,1477977,Education,Camborne School of Mines University of Exeter,491111,PhD,
Don Alvord,1477981,Education,California State Polytechnic University Pomona,60251,BS,1986-01-01
Don Alvord,1477981,Education,California State Polytechnic University Pomona,60251,MBA,1989-01-01
