name,name_id,edu_type,university,university_id,qualification,award_date
Kevin Bittle,1315748,Education,Kutztown University of Pennsylvania,662903,BFA (Bachelors of Fine Arts Program),
Doctor Stephen Faraone,1315750,Education,Brown University,60224,Post Graduate Training,1983-01-01
Doctor Stephen Faraone,1315750,Education,Brown University,60224,Postdoctoral Fellow,1984-01-01
Doctor Stephen Faraone,1315750,Education,University of Iowa,62375,MA,1980-01-01
Doctor Stephen Faraone,1315750,Education,University of Iowa,62375,PhD,1982-01-01
Doctor Stephen Faraone,1315750,Education,State of New York at Stony Brook,93857,BA,1978-01-01
Michele McHugh-Mazzatta,1315751,Education,Rutgers University Camden,243896,BS,
Michele McHugh-Mazzatta,1315751,Education,Rutgers University Camden,243896,Certificate,
Christine MacGregor,1315752,Education,Arizona State University,60074,BS,1998-01-01
Katie Feldman,1315753,Education,University of North Carolina Chapel Hill,62533,Studied,
Doctor Tom Spencer,1315754,Education,University of Wisconsin School of Medicine and Public Health,1106887,MD,1978-01-01
Laura McMillan,1315755,Education,Olin Business School Washington University (John M Olin School of Business),82506,BS,1993-01-01
Laura McMillan,1315755,Education,Loyola University Chicago,1578750,Degree,1991-01-01
Doctor Jeffrey Newcorn,1315756,Education,University of Rochester,62633,BA,1973-01-01
Doctor Jeffrey Newcorn,1315756,Education,American Board of Psychiatry and Neurology Inc (ABPN),261577,Certified,
Doctor Jeffrey Newcorn,1315756,Education,University of Rochester School of Medicine and Dentistry,490508,MD,1977-01-01
Doctor Jeffrey Newcorn,1315756,Professional Qualifications,Tufts Medical Center Inc (Tufts-New England Medical Center prior to 03/2008),584698,Training Program,
Doctor Betsy Busch,1315757,Education,Boston University,60195,Studied,1993-01-01
Doctor Betsy Busch,1315757,Education,Harvard University,63830,Studied,1993-01-01
Doctor Betsy Busch,1315757,Education,Tufts University School of Medicine,105182,MD,1975-01-01
Doctor Betsy Busch,1315757,Education,Barnard College,259346,BA,1971-01-01
Doctor Betsy Busch,1315757,Professional Qualifications,American Board of Pediatrics,532313,Certified,1981-01-01
Iris Manor,1315760,Education,Unknown Organisation,0,MD,
Tony Rostain,1315761,Education,University of Pennsylvania,62579,MA,1985-01-01
Tony Rostain,1315761,Education,Yale University,62981,BA,1973-01-01
Tony Rostain,1315761,Education,New York University School of Medicine,76237,MD,1980-01-01
Tony Rostain,1315761,Education,American Board of Psychiatry and Neurology Inc (ABPN),261577,Certified,1988-01-01
Tony Rostain,1315761,Education,American Board of Psychiatry and Neurology Inc (ABPN),261577,Certified,1989-01-01
Tony Rostain,1315761,Professional Qualifications,American Board of Pediatrics,532313,Certified,1985-01-01
Tony Rostain,1315761,Education,Southern Connecticut State University,665380,MS,1976-01-01
Tony Rostain,1315761,Education,Perelman School of Medicine University of Pennsylvania (University of Pennsylvania School of Medicine prior to 2011),1955566,Post Graduate Training,1985-01-01
Jamie Rothfeld,1315763,Education,University of Illinois Urbana-Champaign (UIUC),77782,BA,
Doctor Mark Stein,1315764,Education,Southern Illinois University,61879,Degree,
Doctor Mark Stein,1315764,Education,University of Washington,62785,PhD,
Doctor Mark Stein,1315764,Professional Qualifications,American Board of Certification (ABC),1194830,Certificate,
Dan Ryan,1315765,Education,University of Wisconsin-Madison,751347,BS (cum laude),1987-01-01
Amy Randolph,1315766,Education,Saint Marys College,785984,Bachelor's Degree,1996-01-01
Amy Randolph,1315766,Education,Eastern Illinois University,60563,Masters Degree,2006-01-01
Amy Randolph,1315766,Education,Eastern Illinois University,60563,Certified,
Tim Romig,1315767,Education,American Institute of Banking (AIB),113722,Associate Degree,
Doctor Paul Leber,1315768,Education,New York University School of Medicine,76237,MD (Hons),1963-01-01
Michael Rothenberg,1315769,Education,Wharton School University of Pennsylvania,64966,BS,1995-01-01
Marc Binda,1315770,Education,California Lutheran University,259992,BSc,1998-01-01
Marc Binda,1315770,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Doctor Amanda Cashin,1315771,Education,California Institute of Technology (CALTECH),60243,PhD,
Doctor Amanda Cashin,1315771,Education,University of Colorado,63056,BS (summa Cum Laude),1999-01-01
George Maroulis,1315772,Education,Columbia University,60434,Attended,2000-01-01
Vince Sebastiano,1315774,Professional Qualifications,Chartered Institute of Management Accountants (USA),2439178,Certified Management Accountant,1991-01-01
Vince Sebastiano,1315774,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Thomas Fries,1315775,Professional Qualifications,Fachhochschule Kaiserslautern,1966684,MEng,
Oliver Sherrill,1315776,Education,University of Maryland College Park,62449,BS,1993-01-01
Doctor James Byrne,1315778,Education,University of Cambridge,60268,PhD,2004-01-01
Doctor James Byrne,1315778,Education,Oregon Health & Science University,854077,Postdoctoral Fellow,
Doctor James Byrne,1315778,Education,University of Cambridge,60268,Postdoctoral Fellow,
Doctor James Byrne,1315778,Education,University of Nottingham,625151,BSc,2000-01-01
Bill Fanshawe,1315779,Education,State University of New York Fredonia (SUNY Fredonia),488461,BS,1980-01-01
Bill Fanshawe,1315779,Education,Fairleigh Dickinson University,60671,MBA,1987-01-01
Daniel Shwartzberg,1315780,Education,University of Hertfordshire,37792,BE (Hons),1993-01-01
Daniel Shwartzberg,1315780,Education,University of Hertfordshire,37792,ME,1994-01-01
Glenn Hedde,1315781,Education,State University of New York (SUNY),61939,BS,1983-01-01
Glenn Hedde,1315781,Education,Pennsylvania State University (Penn State University),61582,MBA,1985-01-01
Forbes Burtt,1315782,Education,Columbia University,60434,MBA,1987-01-01
Forbes Burtt,1315782,Education,Stanford University,61935,BA,1983-01-01
Doctor Dan Anderson,1315783,Education,University of California Davis,62216,PhD,1997-01-01
Elizabeth Browning,1315784,Education,Harvard Business School,63013,Advanced Management Program,1998-01-01
Elizabeth Browning,1315784,Education,Indiana University Bloomington,1337103,BA,1977-01-01
Dan Mellon,1315785,Education,Pace University,61563,BBA,1984-01-01
John Lomanno,1315786,Education,Pennsylvania State University (Penn State University),61582,Bachelor's Degree,1983-01-01
John Lomanno,1315786,Education,St Joseph's University,64795,MBA,1994-01-01
Robert Specker,1315787,Education,University of California,63186,BA,1989-01-01
Robert Specker,1315787,Education,Boalt Hall School of Law University of California,77693,JD,1992-01-01
Laura Campbell,1315789,Education,Villanova University,62858,MS,
Laura Campbell,1315789,Education,La Salle University,461498,BS,
George Gilly,1315791,Education,Louisiana State University (LSU),61181,BA,1977-01-01
George Gilly,1315791,Education,Louisiana State University (LSU),61181,Doctor of Jurisprudence,1979-01-01
Christian Ehrenthal,1315792,Education,Zurich Institute of Business Education (Formerly known as Lorange Institute of Business Zurich),1638792,Executive MBA,2004-01-01
Robert Bollich,1315794,Education,Texas A&M University,62040,Masters Degree,1992-01-01
Kent Nelson,1315849,Education,Wharton School University of Pennsylvania,64966,MBA,1984-01-01
Robert Bollich,1315794,Education,Houston College of Law (Formerly known as South Texas College of Law),81426,Doctor of Jurisprudence,2009-12-01
Robert Bollich,1315794,Education,Texas A&M University,62040,Bachelor's Degree (cum laude),1990-01-01
Jim Collins,1315798,Education,Lock Haven University of Pennsylvania,117866,BS,1989-01-01
Jim Collins,1315798,Education,Lehigh University,61143,MBA,2000-01-01
Warren Taylor,1315800,Education,St Joseph's University,64795,BS,1980-01-01
Glenn Yeager,1315801,Education,Temple University,62035,BBA,1970-01-01
Glenn Yeager,1315801,Education,Academy of Advocacy Temple University School of Law,858079,JD,1976-01-01
Andreas Quist,1315802,Education,Lunds Universitet (Lund University),61193,Master of Social Science Administration (MSSA),1999-01-01
Helen Casey,1315803,Education,Unknown Organisation,0,Certified Residential Brokerage (CRB),
Helen Casey,1315803,Professional Qualifications,Graduate Realtor Institute (GRI),129762,Graduate Realtor Institute (GRI),
Helen Casey,1315803,Education,Carlow University,749440,Doctorate,
Helen Casey,1315803,Education,Carlow University,749440,Executive-in-Residence Program,
Helen Casey,1315803,Education,Georgian Court University,1621663,BA,1971-01-01
John Gregg,1315804,Education,North Carolina State University (NCSU),61450,BS,1984-01-01
John Gregg,1315804,Education,Fuqua School of Business Duke University,730113,MBA,1989-01-01
Mark Atkinson,1315805,Education,Brigham Young University,60212,BS,1987-01-01
Mark Atkinson,1315805,Education,Brigham Young University,60212,Masters Degree,1989-01-01
Jim Dolan,1315807,Education,Villanova University,62858,BA,1976-01-01
Jim Dolan,1315807,Education,Duquesne University School of Law,271457,JD,1980-01-01
Jim Minnick,1315808,Education,United States Air Force Academy (USAFA),62113,Graduated,
Jim Minnick,1315808,Education,University of Denver,62276,BA,1971-01-01
Bill Schenck III,1315809,Education,University of Virginia,62777,Bachelor's Degree,1965-01-01
RichSeidel Seidel,1315810,Education,Georgetown University,60750,BS,1963-01-01
RichSeidel Seidel,1315810,Education,St. John's University School of Law,735642,LLB,1966-01-01
Mark Sullivan,1315815,Education,Babson College,60120,MBA,1970-01-01
Mark Sullivan,1315815,Education,Providence College,61633,BS,1969-01-01
Mark Sullivan,1315815,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Richard Zappala,1315816,Education,University of Ntre Dame,62544,BS,1959-01-01
Richard Zappala,1315816,Education,Duquesne University School of Law,271457,LLB,1963-01-01
Joo Adamo Jr,1315817,Education,Faculdade de Direito - Universidade de So Paulo (Faculty of Law of the University of So Paulo),1960336,Degree,1993-01-01
Joo Adamo Jr,1315817,Education,Escola de Administrao de Empresas de So Paulo Fundao Getlio Vargas,60640,Degree,1993-01-01
Cam Paterson,1315819,Professional Qualifications,Canadian Institute of Chartered Accountants (CICA),56019,Chartered Accountant,
