name,name_id,edu_type,university,university_id,qualification,award_date
Wendy Liu,1285368,Education,Columbia University,60434,BA,1999-01-01
Wendy Liu,1285368,Education,Wharton School University of Pennsylvania,64966,MBA,2010-01-01
John Urquhart,1285369,Education,Brown University,60224,BA,2004-01-01
John Urquhart,1285369,Education,Wharton School University of Pennsylvania,64966,MBA,2012-01-01
Jonathan Barr,1285370,Education,Harvard University,63830,AB (magna cum laude),2008-01-01
Emilie McKenna,1285371,Education,Fuqua School of Business Duke University,730113,MBA,2015-01-01
Emilie McKenna,1285371,Education,Bowdoin College,60198,BA,2008-01-01
Anthony Rapsomanikis,1285372,Education,Eugene M Isenberg School of Management University of Massachusetts,490877,BBA (Cum Laude),2009-01-01
Carlos Almodovar,1285373,Education,Cornell University,60457,BS,2001-05-01
Joshua Kurtz,1285376,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Joshua Kurtz,1285376,Education,Bernard M Baruch College City University of New York (CUNY),81866,BBA,
Andrew Reardon,1285377,Education,University of Iowa College of Law,246437,JD (Distinction),2005-01-01
Andrew Reardon,1285377,Education,State University of New York College at Old Westbury,860062,BA (Hons),2002-01-01
Spencer Schneider,1285379,Education,Columbia College Columbia University,60432,BA,1992-01-01
Spencer Schneider,1285379,Education,Benjamin N Cardozo School of Law Yeshiva University,1479000,JD,1998-01-01
Spencer Schneider,1285379,Education,New York Medical College (NYMC),79699,MS,1995-01-01
Alice Villa,1285380,Education,Iona College,79469,BBA,2003-01-01
Doctor Lou Berneman,1285383,Education,University of California,63186,Graduated,1972-01-01
Doctor Lou Berneman,1285383,Education,Teachers College Columbia University,80639,MA,1974-01-01
Doctor Lou Berneman,1285383,Education,Teachers College Columbia University,80639,Doctor of Education (DEd),1977-01-01
Doctor Lou Berneman,1285383,Education,Pennsylvania State University School of International Business,1191855,BA,1970-01-01
Doctor Lou Berneman,1285383,Professional Qualifications,Certified Licensing Professionals Inc,1510989,Certified Licensing Professional (CLP),2008-01-01
Doctor Lou Berneman,1285383,Professional Qualifications,Alliance of Technology Transfer Professionals Limited (ATTP),2067691,Certified,2010-01-01
Doctor Larry Kantor,1285387,Education,Ohio State University (OSU),61523,MA,
Doctor Larry Kantor,1285387,Education,Ohio State University (OSU),61523,PhD,
Larry Wieseneck,1285391,Education,Wharton School University of Pennsylvania,64966,BS,1987-01-01
Larry Wieseneck,1285391,Education,Leonard N Stern School of Business New York University,42226,MBA,1995-01-01
Stephen Benjamin,1285392,Education,Haverford College,60834,BA,1991-01-01
Stephen Benjamin,1285392,Education,New York University (NYU),61424,MS,1993-01-01
Michael DiGiacomo,1285393,Education,Fairleigh Dickinson University,60671,Studied,
Michael DiGiacomo,1285393,Education,St Peters College New Jersey,63463,Studied,
Rick Lapidos,1285394,Education,Wharton School University of Pennsylvania,64966,BS,2002-01-01
Drew Spitler,1285395,Education,Leonard N Stern School of Business New York University,42226,MBA,2008-01-01
Drew Spitler,1285395,Education,Eller College of Management (Formerly known as Eller College of Business and Public Administration),1264357,BSBA,2002-01-01
Tracey Whitehead,1285396,Education,Monash University,2027826,Bachelor's Degree,
Kevin Corning,1285401,Education,College of William & Mary,60420,BA,1984-01-01
Kevin Corning,1285401,Education,Kellogg School of Management Northwestern University,77878,MBA,1993-01-01
Reverend Shari Monson,1285404,Education,Drew University,60541,MA (Hons),1986-01-01
Reverend Shari Monson,1285404,Professional Qualifications,Fuller Theological Seminary,120137,MDiv,2010-01-01
Reverend Shari Monson,1285404,Education,Seattle Pacific University,248072,BA (Hons),1984-01-01
Reverend Shari Monson,1285404,Education,Jawaharlal Nehru University (JNU),1292069,MA,1988-01-01
Pat Reser,1285406,Education,Portland State University,61621,Masters Degree,1980-01-01
Pat Reser,1285406,Education,Portland State University,61621,Attended,
Pat Reser,1285406,Education,Oregon State University,61547,BS,1960-01-01
Lynn Bunim,1285407,Education,Occidental College,61516,MA,
Lynn Bunim,1285407,Education,University of California,63186,Graduated,1968-01-01
Susie Sorkin,1285412,Professional Qualifications,Wexner Center for the Arts,824924,Graduated,
Bob Fanning,1285414,Education,Florida State University,60692,Graduated,
Bob Fanning,1285414,Education,Texas A&M University,62040,MS,
Ann Klein,1285415,Education,University of Washington,62785,BA,1993-01-01
Karen Perlman,1285416,Education,Georgetown University,60750,MBA,
Karen Perlman,1285416,Education,University of California Berkeley,62215,BA,
Norman Berkman,1285419,Education,Syracuse University,61983,BA,1957-01-01
Norman Berkman,1285419,Education,Syracuse University,61983,BS,
Norman Berkman,1285419,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Jeff Zlot,1285420,Education,Colby College,60394,BA,1993-01-01
Jeff Zlot,1285420,Professional Qualifications,Institute of Certified Financial Planners (ICFP),1479053,Certified Financial Planner,
Doctor John Gollhofer,1285422,Education,Unknown Organisation,0,Doctor of Medicine (DM),
Dan Safier,1285423,Education,University of California Berkeley,62215,Graduated,
Dan Safier,1285423,Education,University of California Hastings College of Law,60832,JD,
Steve Vickers,1285425,Education,Clarkson University,60383,BS,1982-01-01
Steve Vickers,1285425,Education,George Fox University,468462,MA,2007-01-01
Scott Hill,1285426,Education,Regent University (Virginia),268896,Masters Degree,2007-01-01
Scott Hill,1285426,Education,Bryan College,850681,BA,
Scott Hill,1285426,Education,Columbia International University (CIU),1490663,Degree,
Tanya Bernstein,1285428,Education,Case Western Reserve University (CWRU),60290,BS,2002-01-01
Tanya Bernstein,1285428,Education,Haas School of Business University of California Berkeley,757832,MBA,2008-01-01
Mark Bernstein,1285439,Education,Wharton School University of Pennsylvania,64966,BSE,1981-01-01
Mark Bernstein,1285439,Education,New York University School of Law,574794,JD,1996-01-01
Adele Corvin,1285440,Education,California State University (CSU),60252,Doctorate (Hons),
Sue Diamond,1285442,Education,Massachusetts Institute of Technology (MIT),40436,Masters Degree,1983-01-01
Sue Diamond,1285442,Education,Stanford University,61935,BS,1979-01-01
Sue Diamond,1285442,Education,Harvard Law School,63035,JD,1983-01-01
Suzanne Felson,1285445,Education,University of Southern California (USC),62673,Studied,1989-01-01
Nanette Freedland,1285446,Education,Santa Clara University,61782,MA,1987-01-01
Nanette Freedland,1285446,Education,John F Kennedy University,89386,Certified,2007-01-01
Nanette Freedland,1285446,Education,Pennsylvania Institute of Technology,484481,Attended,
Nanette Freedland,1285446,Education,Santa Clara County Office of Education (SCCOE),1650260,Certified,
Nanette Freedland,1285446,Education,Brooklyn College,60220,BA,
Nanette Freedland,1285446,Education,Lehigh University,61143,MEd,1977-01-01
Danny Grossman,1285447,Education,Yale University,62981,BA,1980-01-01
Danny Grossman,1285447,Education,Stanford University Graduate School of Business,67360,MBA,1991-01-01
Tom Kasten,1285449,Education,University of California Berkeley,62215,BSc,
Tom Kasten,1285449,Education,University of California Berkeley,62215,MBA,
Ron Kaufman,1285450,Education,University of California Berkeley,62215,BA,1955-01-01
Ron Kaufman,1285450,Education,University of California Berkeley,62215,MBA,1959-01-01
Joan Levison,1285451,Education,Stanford University,61935,BA,
Joan Levison,1285451,Education,Wharton School University of Pennsylvania,64966,MBA,
Galina Leytes,1285452,Education,Stanford University Graduate School of Business,67360,Advanced Management Program,2009-01-01
Galina Leytes,1285452,Professional Qualifications,Kiev Engineering Institute,1918377,MS,
Jeff Maltz,1285454,Education,Washington University St Louis,82206,BA,1992-01-01
Jeff Maltz,1285454,Education,Washington University St Louis,82206,BS,1992-01-01
Jeff Maltz,1285454,Education,Haas School of Business University of California Berkeley,757832,MBA,2001-05-01
David Steirman,1285463,Education,University of Chicago,42092,MBA,1979-01-01
David Steirman,1285463,Education,Wharton School University of Pennsylvania,64966,Graduated (magna cum laude),1976-01-01
David Wagonfeld,1285465,Education,Stanford University,61935,BA,
David Wagonfeld,1285465,Education,Harvard Business School,63013,MBA,1995-01-01
Marsha Hurwitz,1285467,Education,Virginia Commonwealth University,62862,MS,
Marsha Hurwitz,1285467,Education,Medical College of Virginia,82059,BS,
Scott Hayashi,1285468,Education,Washington University School of Law St Louis,826110,JD,1996-01-01
