name,name_id,edu_type,university,university_id,qualification,award_date
David Schwartz,1604705,Education,George Washington University Law School,82827,JD,
Bryan Sillaman,1604706,Education,John Carroll University (JCU),80640,BS,2001-01-01
Bryan Sillaman,1604706,Education,George Washington University Law School,82827,JD (Hons),2004-01-01
Lisa Fales,1604707,Education,University of Baltimore School of Law,502313,JD,1990-01-01
Lisa Fales,1604707,Education,University of Maryland University College (UMUC),640826,BA,1984-01-01
Gary Simon,1604708,Education,Swarthmore College,61976,BA (Hons),1979-01-01
Gary Simon,1604708,Education,Vanderbilt University School of Law,90482,JD,1983-01-01
William Stein,1604710,Education,Columbia University,60434,BA (magna cum laude),1974-01-01
William Stein,1604710,Education,Columbia Law School,64891,JD,1977-01-01
Michael Flyer,1604711,Education,University of Michigan,63187,AB,1959-01-01
Michael Flyer,1604711,Education,University of Michigan Law School,75652,JD,1962-01-01
David Stern,1604712,Education,University of Minnesota,62475,JD,1992-01-01
David Stern,1604712,Education,London School of Economics (LSE) (London School of Economics and Political Science),38522,MSc,1989-01-01
David Stern,1604712,Education,St John's University,61913,BA (summa cum laude),1988-01-01
Oddo Foley,1604713,Education,Boston College Law School (BCLS),82648,JD,1998-01-01
Oddo Foley,1604713,Education,Boston College,60193,BA (summa cum laude),1995-01-01
Sam Sultanik,1604714,Education,New York University School of Law,574794,LLM,1983-01-01
Sam Sultanik,1604714,Education,Clark University,106702,BS,1975-01-01
Sam Sultanik,1604714,Education,Maurice A Deane School of Law Hofstra University,2295973,JD,1978-01-01
Carmen Fonda,1604715,Education,University of Maryland School of Law (UMSL),481814,JD (Hons),2003-01-01
Carmen Fonda,1604715,Education,Johns Hopkins University,61026,BA,1997-01-01
Nick Swerdloff,1604716,Education,Fordham University School of Law,106197,JD (Cum Laude),1983-01-01
Nick Swerdloff,1604716,Education,State University of New York Stony Brook,461269,BA (Cum Laude),1980-01-01
Alain Vincent,1604720,Education,Universit de Paris (University of Paris),63318,MS,1969-01-01
Alain Vincent,1604720,Education,New York University School of Law,574794,Diploma,1971-01-01
Alain Vincent,1604720,Education,New York University School of Law,574794,MA,1973-01-01
Thomas France,1604721,Education,Oregon State University,61547,BA (summa cum laude),1992-01-01
Thomas France,1604721,Education,Washington and Lee University School of Law,564260,JD (Cum Laude),1995-01-01
Mike O'Driscoll,1604722,Education,University of Warwick,62784,MBA,
Daniel Weiner,1604723,Education,Princeton University,61632,AB (cum laude),1981-01-01
Daniel Weiner,1604723,Education,New York University School of Law,574794,JD,1984-01-01
James Fraser,1604726,Education,Michigan State University (MSU),61278,BA,1992-01-01
James Fraser,1604726,Education,International School of Brussels,64670,Diploma,1988-01-01
James Fraser,1604726,Education,University of Iowa College of Law,246437,JD (Distinction),1995-01-01
Marc Weinstein,1604727,Education,Duke University,60547,BA (Cum Laude),1990-01-01
Marc Weinstein,1604727,Education,University of Pennsylvania Law School,74077,JD,1993-01-01
Rich Frey,1604728,Education,University of California Santa Barbara (UCSB),62214,BA (Cum Laude),1991-01-01
Rich Frey,1604728,Education,Pepperdine University School of Law,465814,JD (Cum Laude),1994-01-01
Aviva Wernick,1604729,Education,Yeshiva University,79331,BA (magna cum laude),1991-01-01
Aviva Wernick,1604729,Education,New York University School of Law,574794,JD,1994-01-01
Steve Gallagher,1604730,Education,James Madison University,61006,BS,
Steve Gallagher,1604730,Education,Antonin Scalia Law School George Mason University (George Mason University School of Law prior to 05/2016),464018,JD,1994-01-01
