name,name_id,edu_type,university,university_id,qualification,award_date
Jim Cunningham,1342158,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Jim Cunningham,1342158,Education,Clarion University of Pennsylvania,485201,BSBA,1984-01-01
Bill Dickson,1342159,Education,Harvard Law School,63035,LLM,1966-01-01
Bill Dickson,1342159,Education,Dalhousie University,60481,BA,1961-01-01
Bill Dickson,1342159,Education,Schulich School of Law at Dalhousie University,2547316,LLB,1965-01-01
Kim Griffith,1342160,Professional Qualifications,Leadership Pittsburgh Inc,1672907,Attended,
Kim Griffith,1342160,Education,Clarion University of Pennsylvania,485201,BS (summa Cum Laude),
Kim Griffith,1342160,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Dave Kaplan,1342161,Professional Qualifications,National Association of Certified Valuation and Analysts (NACVA),465653,Certified Valuation Analyst,
Dave Kaplan,1342161,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Accredited Business valuator (ABV),
Dave Kaplan,1342161,Professional Qualifications,National Association of Certified Valuation and Analysts (NACVA),465653,Certified Forensic Financial Analyst (CFFA),
Dave Kaplan,1342161,Professional Qualifications,American and Pennsylvania Institutes of Certified Public Accountants,893287,Certified Public Accountant,
Dave Kaplan,1342161,Education,University of Pittsburgh Law School,63372,JD,
Dave Kaplan,1342161,Education,Duquesne University,60549,BS (magna Cum Laude),
Jeff Kovacs,1342162,Education,Pennsylvania State University (Penn State University),61582,BS,1985-01-01
Jeff Kovacs,1342162,Education,Institute of Management Accountants (IMA) (USA),40224,Chartered Global Management Accountant (CGMA),
Jeff Kovacs,1342162,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Josh Lefcowitz,1342163,Professional Qualifications,Association of Certified Fraud Examiners (ACFE),379372,Certified Fraud Examiner,
Josh Lefcowitz,1342163,Professional Qualifications,Leadership Pittsburgh Inc,1672907,Leadership Development Programme,2011-06-01
Josh Lefcowitz,1342163,Professional Qualifications,National Association of Certified Valuation and Analysts (NACVA),465653,Certified Valuation Analyst,
Josh Lefcowitz,1342163,Professional Qualifications,American Society of Appraisers,485008,Accredited Senior Appraiser (ASA),
Josh Lefcowitz,1342163,Education,Clarion University of Pennsylvania,485201,BSBA (cum laude),2000-01-01
Josh Lefcowitz,1342163,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Accredited Business valuator (ABV),
Josh Lefcowitz,1342163,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified in Financial Forensics (CFF),
Josh Lefcowitz,1342163,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Michael Leone,1342164,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Michael Leone,1342164,Education,University of Miami,62467,LLM,
Michael Leone,1342164,Education,University of Miami School of Law,460566,JD,
Michael Leone,1342164,Education,University of Miami,62467,BBA,
Howard Levy,1342165,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Howard Levy,1342165,Education,University of Maryland College Park,62449,BS (magna Cum Laude),1980-01-01
Howard Levy,1342165,Professional Qualifications,National Association of Certified Valuation and Analysts (NACVA),465653,Certified Valuation Analyst,
Gene Logan,1342166,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Gene Logan,1342166,Education,Grove City College,82705,BA,1986-01-01
Kieran O'Dea,1342167,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Kieran O'Dea,1342167,Education,Robert Morris University,76487,BS,1998-01-01
Brandon Otis,1342168,Education,Duquesne University,60549,BS,2003-01-01
Brandon Otis,1342168,Professional Qualifications,Pennsylvania Institute of Certified Public Accountants (PICPA),89351,Certified Public Accountant,
Brandon Otis,1342168,Professional Qualifications,Association of Certified Fraud Examiners (ACFE),379372,Certified Fraud Examiner,
Brandon Otis,1342168,Professional Qualifications,National Association of Certified Valuation and Analysts (NACVA),465653,Certified Valuation Analyst,
Brandon Otis,1342168,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Accredited Business valuator (ABV),
Brandon Otis,1342168,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified in Financial Forensics (CFF),
Brandon Otis,1342168,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Thomas Pratt,1342169,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified,
Thomas Pratt,1342169,Professional Qualifications,National Association of Certified Valuation and Analysts (NACVA),465653,Certified Valuation Analyst,
Thomas Pratt,1342169,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Accredited Business valuator (ABV),
Thomas Pratt,1342169,Education,Westminster College Pennsylvania,1690692,BA,1982-01-01
