name,name_id,edu_type,university,university_id,qualification,award_date
John Willett,1611304,Education,Stanford University Graduate School of Business,67360,MBA,1972-01-01
John Willett,1611304,Education,Stanford University School of Law,77691,JD,1972-01-01
John Willett,1611304,Education,New York University School of Law,574794,LLM,1976-01-01
Doug Winthrop,1611305,Education,Harvard University,63830,AB (magna cum laude),1986-01-01
Doug Winthrop,1611305,Education,University of Minnesota Law School,80696,JD (magna Cum Laude),1991-01-01
Craig Wise,1611306,Education,Eastern Michigan University,82766,BBA,1994-01-01
Craig Wise,1611306,Education,George Mason University School of Public Policy,1384776,MA,2009-01-01
Craig Wise,1611306,Education,Eastern Michigan University,82766,BA,1994-01-01
Craig Wise,1611306,Education,Tulane University Law School,129192,JD,1998-01-01
Kent Yalowitz,1611308,Education,Columbia Law School,64891,JD,1987-01-01
Kent Yalowitz,1611308,Education,Yale College,64917,BA,1984-01-01
David Luigs,1611310,Education,College of William & Mary,60420,BA,1988-01-01
David Luigs,1611310,Education,University of Michigan Law School,75652,JD (magna Cum Laude),1995-01-01
Tom Carmack,1611311,Education,Brigham Young University,60212,BS,2000-01-01
Tom Carmack,1611311,Education,Davis School of Law University of California,747619,JD,2003-01-01
Tim Selby,1611312,Professional Qualifications,Institute of Chartered Financial Analysts (ICFA) (USA),41274,Certificate,
Tim Selby,1611312,Education,Iona College,79469,MBA,1990-01-01
Tim Selby,1611312,Education,Lona College,957154,BBA,1987-01-01
Tim Selby,1611312,Education,St John's University,61913,JD,1993-01-01
Tim Selby,1611312,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
John Shannon,1611313,Education,Southern Methodist University,61882,BA,1990-01-01
John Shannon,1611313,Education,Vanderbilt University,62843,JD,1995-01-01
Dominique Shelton,1611314,Education,Georgetown University,60750,JD,1991-01-01
Dominique Shelton,1611314,Education,Brown University,60224,BA,1988-01-01
Dominique Shelton,1611314,Professional Qualifications,International Association of Privacy Professionals (IAPP),795636,Certified Information Privacy Professional,
Stuart Lipton,1611316,Education,Vassar College,62845,AB (Hons),1975-01-01
Stuart Lipton,1611316,Education,New York University School of Law,574794,LLM,1984-01-01
Stuart Lipton,1611316,Education,University of North Carolina School of Law,834019,JD,1979-01-01
David O'Neil,1611317,Education,Harvard Law School,63035,JD (magna Cum Laude),2000-01-01
David O'Neil,1611317,Education,Princeton University,61632,BA (magna cum laude),1995-01-01
Kara Daniels,1611318,Education,George Washington University Law School,82827,JD (Hons),1998-01-01
Kara Daniels,1611318,Education,Haverford College,60834,BA,1995-01-01
Paolo Di Rosa,1611319,Education,Harvard Law School,63035,JD (Cum Laude),1991-01-01
Paolo Di Rosa,1611319,Education,Harvard University,63830,BA (magna cum laude),1987-01-01
Matt Douglas,1611320,Education,University of Texas at Austin,62742,BA (Hons),1991-01-01
Matt Douglas,1611320,Education,University of Colorado,63056,JD,1995-01-01
Jeffrey Handwerker,1611321,Education,Rutgers College,76909,BA,1992-01-01
Jeffrey Handwerker,1611321,Education,George Washington University Law School,82827,JD (Hons),1995-01-01
Jim Pastore Jr,1611322,Education,University of Ntre Dame,62544,BA (summa cum laude),2001-01-01
Jim Pastore Jr,1611322,Education,Stanford University School of Law,77691,JD (Distinction),2004-01-01
Kazu Shimizu,1611323,Education,New York University (NYU),61424,JD,1996-01-01
Kazu Shimizu,1611323,Education,University of Southern California (USC),62673,BS,1992-01-01
Sage Sigler,1611324,Professional Qualifications,Institute of Chartered Financial Analysts (ICFA) (USA),41274,Certificate,2013-04-01
Sage Sigler,1611324,Education,Emory University,60627,JD,2006-01-01
Sage Sigler,1611324,Education,University of Florida,62323,BA,2001-01-01
Richard Simonds Jr,1611325,Education,Columbia University,60434,BA,1987-01-01
Richard Simonds Jr,1611325,Education,New York University School of Law,574794,JD,1993-01-01
Frank Smith III,1611326,Education,Stanford University,61935,JD,1977-01-01
Frank Smith III,1611326,Education,Davidson College,1795510,BA (Cum Laude),1974-01-01
