name,name_id,edu_type,university,university_id,qualification,award_date
John Bliss,1737884,Education,Georgetown University Law Center (Georgetown Law School),79195,JD,1985-01-01
John Bliss,1737884,Education,University of California San Diego (UCSD),79941,BA,
John Bliss,1737884,Professional Qualifications,International Association of Privacy Professionals (IAPP),795636,Certificate in Investment Performance Measurement (CIPM),
John Bliss,1737884,Professional Qualifications,International Association of Privacy Professionals (IAPP),795636,Certified,
Eric Waller,1737886,Education,West Virginia University College of Law,485692,JD,2004-01-01
Eric Waller,1737886,Education,West Virginia University College of Business & Economics,485794,BS (summa Cum Laude),2001-01-01
Patty Morton,1737889,Education,Duke University,60547,BA,1977-01-01
Patty Morton,1737889,Education,University of Pittsburgh,62593,MBA,1978-01-01
Doctor Eddie Amos,1737895,Education,National Defense University (NDU) (USA),61380,Graduate Certificate,
Doctor Eddie Amos,1737895,Education,American University Washington,60049,MS,
Doctor Eddie Amos,1737895,Education,Villanova University,62858,Graduate Certificate,
Doctor Eddie Amos,1737895,Education,Virginia Polytechnic Institute and State University (Virginia Tech),110197,PhD,
Ken Wilmot,1737897,Education,Harvard Business School,63013,Advanced Management Program,2014-01-01
Ken Wilmot,1737897,Education,Iowa State University,1246304,BA,1985-01-01
Ken Wilmot,1737897,Education,University of St Thomas Minnesota,2217414,MBA,
Joe Allman,1737900,Education,Villanova University,62858,BA,1987-01-01
Joe Allman,1737900,Education,Indiana University Kelley School of Business,79674,MBA,1996-01-01
Robert Balsamo,1737901,Education,Colgate University,60399,BA,2002-01-01
Robert Balsamo,1737901,Education,AB Freeman School of Business Tulane University,118747,MBA,2010-01-01
George Kaltwasser,1737904,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
George Kaltwasser,1737904,Education,University of Memphis (UoM),97372,BS,1977-01-01
Chris Kane,1737905,Education,Duke University,60547,BA,1979-01-01
Chris Kane,1737905,Education,Kellogg School of Management Northwestern University,77878,MBA,1981-01-01
Jeff Karr,1737907,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Jeff Karr,1737907,Professional Qualifications,National Contract Management Association (NCMA),255186,Certified Professional Contracts Manager (CPCM),
Jeff Karr,1737907,Education,Saint Francis University,642772,BS,1981-01-01
Doug Cusick,1737908,Education,University of Washington,62785,Graduated,1988-01-01
Doug Cusick,1737908,Professional Qualifications,National Association of Boards of Pharmacy,836835,Registered Pharmacist (RPh),
Mike Kelly,1737910,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Mike Kelly,1737910,Education,University of South Carolina,62667,BS (cum laude),2000-01-01
Mike Kelly,1737910,Education,University of South Carolina,62667,Masters Degree,
Brian Kilbane,1737911,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Brian Kilbane,1737911,Education,Xavier University,73904,BSBA,1998-01-01
Doctor Robert Kiskaddon,1737912,Education,University of Connecticut,62265,Doctorate,1991-01-01
Doctor Robert Kiskaddon,1737912,Education,Claremont McKenna College,87047,Bachelor's Degree,1977-01-01
Doctor Robert Kiskaddon,1737912,Education,American College of Emergency Physicians,632244,Diplomate,1997-12-01
Doctor Robert Kiskaddon,1737912,Professional Qualifications,American Board of Emergency Medicine (ABEM) Inc,632297,Certified,1996-12-01
Charley Puls,1737913,Education,University of Missouri-St Louis (UMSL),101427,Graduated,
Warren Kitchens,1737914,Education,Georgia Institute of Technology (GIT),60751,BS,1990-01-01
Warren Kitchens,1737914,Education,J Mack Robinson College of Business Georgia State University,460260,MBA,1999-01-01
David Talby,1737915,Education,Hebrew University of Jerusalem,43828,BSc,1997-01-01
David Talby,1737915,Education,Hebrew University of Jerusalem,43828,MBA,1999-01-01
David Talby,1737915,Education,Hebrew University of Jerusalem,43828,MS,1999-01-01
David Talby,1737915,Education,Hebrew University of Jerusalem,43828,PhD,2006-01-01
Jeff Kitterman,1737916,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Jeff Kitterman,1737916,Education,Christian Brothers University,91852,BS,
Gary Kitts,1737917,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,1984-01-01
Gary Kitts,1737917,Education,Bluefield State College,79809,BSBA,1984-01-01
LaCount Kline,1737919,Professional Qualifications,Chartered Global Management Accountant (CGMA),2066231,Chartered Global Management Accountant (CGMA),
LaCount Kline,1737919,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
LaCount Kline,1737919,Education,College of William & Mary,60420,MBA,1984-01-01
LaCount Kline,1737919,Education,Bethany College,123887,BA,1973-01-01
Dick Gist,1737920,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Micah Scott,1737922,Professional Qualifications,CFA Institute (Association for Investment Management and Research prior to 2004),594747,Chartered Financial Analyst,2011-01-01
Micah Scott,1737922,Education,Missouri State University (Southwest Missouri State University prior to 08/2005),61890,Degree,2006-01-01
Jim Jura,1737926,Education,Harvard Business School,63013,Advanced Management Program,
Jim Jura,1737926,Education,Seattle University,61811,MBA,1970-01-01
Jim Jura,1737926,Education,University of Washington,62785,Bachelor's Degree,1968-01-01
Eric Leonard,1737927,Education,George Mason University,78700,Bachelor's Degree,1992-01-01
Eric Leonard,1737927,Education,Graduate School of Banking at Colorado (GSBC),957180,Graduated (Hons),2005-01-01
Luigi Perin,1737931,Education,Pace University,61563,Graduated,
Luigi Perin,1737931,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,1999-01-01
Luigi Perin,1737931,Education,Universit degli Studi di Roma La Sapienza (La Sapienza University of Rome),62703,Masters Degree,
Carl Miller,1737932,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Carl Miller,1737932,Education,John Carroll University (JCU),80640,BS,1977-01-01
Doctor Howard Mayer,1737933,Education,Albert Einstein College of Medicine of Yeshiva University,41987,Doctor of Medicine (DM),1988-01-01
Doctor Howard Mayer,1737933,Education,University of Pennsylvania,62579,BA,1984-01-01
Doctor Howard Mayer,1737933,Education,Harvard Medical School,63348,Fellow,1995-01-01
Mike Matlock,1737934,Professional Qualifications,State of Michigan,142246,PEng,
Mike Matlock,1737934,Education,University of Cincinnati,62243,BS,1978-01-01
Mike Matlock,1737934,Education,Kellogg School of Management Northwestern University,77878,Executive Development Program,
Alberto Boguslavsky,1737936,Education,Universidad Iberoamericana,1341986,MBA,
Alberto Boguslavsky,1737936,Education,University of San Diego (USD),62647,BBA,
Greg Horrell,1737937,Education,Southern Illinois University,61879,Degree,1991-01-01
Doctor Vandana Menon,1737938,Education,Harvard School of Public Health,63160,MPH,1997-01-01
Doctor Vandana Menon,1737938,Professional Qualifications,Tufts Medical Center Inc (Tufts-New England Medical Center prior to 03/2008),584698,Fellow,2003-01-01
Doctor Vandana Menon,1737938,Education,Stanley Medical College Chennai,1015367,MBBS,1991-01-01
Doctor Vandana Menon,1737938,Education,University of Tennessee Health Science Center,1232982,PhD,1996-01-01
Doctor Vandana Menon,1737938,Education,Sackler School of Graduate Biomedical Sciences,1354443,MS,2003-01-01
