name,name_id,edu_type,university,university_id,qualification,award_date
Bob Story Jr,338468,Education,University of Vermont,62771,BA,
Bob Story Jr,338468,Education,Samuel Curtis Johnson Graduate School of Management Cornell University (S C Johnson Graduate School of Management),78597,MBA,
Craig Rauchle,338469,Education,University of Denver,62276,BA,1977-01-01
Ken Olson,338472,Education,University of Minnesota,62475,BS,1984-01-01
Ken Olson,338472,Education,University of Minnesota,62475,MBA,1992-01-01
Pat Curry,338475,Education,Texas A&M University,62040,BBA,
Jeff Ford,338476,Education,Stanford University Graduate School of Business,67360,Certified,2000-01-01
Jeff Ford,338476,Education,Arizona State University,60074,BS,1984-01-01
Jeff Hale,338479,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Barry Feinberg,338480,Education,Charles Widger School of Law Villanova University (Villanova University School of Law prior to 01/2016),466232,JD,
Barry Feinberg,338480,Education,Long Island University,61173,Degree,
Jim Conway III,338481,Education,Harvard College,63125,Graduated,1973-01-01
Jim Conway III,338481,Education,Xavier University,73904,MBA,1975-01-01
Kurt Kneip,338482,Education,South Dakota State University (SDSU),128092,BS (Hons),1984-01-01
Kurt Kneip,338482,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Kurt Kneip,338482,Education,University of South Dakota,83247,MPA,1985-01-01
Walt Ainsworth,338485,Education,Purdue University,61638,Graduated,1978-01-01
Rich Stolz,338488,Education,Hobart and William Smith Colleges,60860,Graduated,1972-01-01
William Thorndike,338489,Education,Harvard College,63125,AB,1955-01-01
Doctor Frank Armstrong,338490,Education,University of Edinburgh,60610,MBChB,1981-01-01
Doctor Frank Armstrong,338490,Education,University of Edinburgh,60610,Degree,
Leroy Ball Jr,338491,Education,Robert Morris University,76487,MBA,
Leroy Ball Jr,338491,Education,Florida International University (FIU),82197,BS,1990-01-01
Jim Smart,338492,Education,La Salle University,461498,BS,1979-01-01
Jim Smart,338492,Professional Qualifications,St Joseph Preparatory School,633341,Diploma,1975-01-01
Jim Smart,338492,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Andrea Gilbert,338493,Education,Johns Hopkins University,61026,MHSc,1978-01-01
Andrea Gilbert,338493,Education,University of Wisconsin-Madison,751347,Graduated,1975-01-01
Doctor Errol Gage,338494,Education,Texas A&M University,62040,BS,1965-01-01
Doctor Errol Gage,338494,Education,Texas A&M University,62040,PhD,1966-01-01
Doctor Errol Gage,338494,Education,Auburn University at Montgomery,60101,MS,1968-01-01
James Fishburne,338495,Education,University of Ntre Dame,62544,Degree,
Professor Kathy Curley,338496,Education,Harvard Business School,63013,MBA,1976-01-01
Professor Kathy Curley,338496,Education,Harvard Business School,63013,DBA,1981-01-01
Professor Kathy Curley,338496,Education,Smith College,61849,AB (magna cum laude),1972-01-01
Susan Wagner,338497,Education,Pace University,61563,MBA,1981-01-01
Susan Wagner,338497,Education,University of Massachusetts Amherst (UMA),62456,BS,1971-01-01
Steven Shelton,338498,Education,University of Texas at Austin,62742,BS,1990-01-01
Steven Shelton,338498,Education,University of Texas at Austin,62742,BBA,1991-01-01
Steven Shelton,338498,Education,University of Texas at Austin,62742,Masters Degree,2006-01-01
Steven Shelton,338498,Education,Washburn University,62890,MBA,1999-01-01
Doctor Dongping Lin,338499,Education,University of Michigan,63187,MSE,1983-01-01
Doctor Dongping Lin,338499,Education,University of Michigan,63187,PhD,1986-01-01
Doctor Dongping Lin,338499,Education,Beijing Normal University,422255,BS,1982-01-01
Tim Timmerman,338500,Education,Texas A&M University,62040,Bachelor's Degree,
Tim Timmerman,338500,Education,University of Texas at Austin,62742,Masters Degree,
Tim Timmerman,338500,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Mark Oliver,338501,Education,Baylor University,60138,BBA,1981-01-01
Peter Markell,338502,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Peter Markell,338502,Education,Boston College,60193,BSBA,1977-01-01
Kees Majoor,338504,Education,Institute for Automotive Industry and Management,631000,Degree,
Rick Riley,338506,Education,Baylor University,60138,BBA,
Susan Merrill,338508,Education,University of Maryland College Park,62449,BA (Cum Laude),1979-01-01
Susan Merrill,338508,Education,Brooklyn Law School,63628,JD (summa Cum Laude),1986-01-01
Grant Teaff,338509,Education,McMurry University,82504,BS,1956-01-01
Grant Teaff,338509,Education,McMurry University,82504,PhD,1975-01-01
Grant Teaff,338509,Education,McMurry University,82504,MS,
Grant Teaff,338509,Education,Angelo State University,137347,Graduated,
Ted Peters II,338511,Education,Amherst College,60055,BS,1971-01-01
Ted Peters II,338511,Education,Haverford School,623040,Graduated (cum laude),
Chris Flowers,338512,Education,Harvard University,63830,AB (magna cum laude),1979-01-01
Jeffrey Halis,338513,Education,Massachusetts Institute of Technology (MIT) Sloan School of Management,63283,Masters Degree,1976-01-01
Eric Zimmerman,338514,Education,Cornell University,60457,BA,1987-01-01
Prabodh Mathur,338515,Education,Indian Institute of Technology Kanpur,462676,BS,1981-01-01
Prabodh Mathur,338515,Education,Missouri University of Science & Technology (University of Missouri - Rolla prior to 01/2008),1483741,MS,1983-01-01
Doctor Guy Sohie Sr,338516,Education,Hogeschool van Amsterdam,590934,BSEE,1979-01-01
