name,name_id,edu_type,university,university_id,qualification,award_date
Terry Hartshorn,181003,Education,University of California Los Angeles (UCLA),62218,BS,
Terry Hartshorn,181003,Education,University of California Los Angeles (UCLA),62218,Masters Degree,
Daniel Casey,181011,Education,DePaul University College of Law,420322,JD,1970-01-01
Daniel Casey,181011,Education,Loyola University Chicago,1578750,BBA,1964-01-01
Daniel Casey,181011,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Howie Phanstiel,181016,Education,Maxwell School of Syracuse University,80648,MPA,1971-01-01
Howie Phanstiel,181016,Education,Syracuse University,61983,BA,1970-01-01
The Hon. Eli Thornton Jr,181021,Education,University of Texas at Austin,62742,LLB,1932-01-01
Warren Pinckert II,181024,Education,University of Southern California (USC),62673,BS,1965-01-01
Warren Pinckert II,181024,Education,University of Southern California (USC),62673,MBA,
Warren Pinckert II,181024,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
David Reed,181028,Education,University of Pittsburgh,62593,MS,1955-01-01
Dave Ellenberger,181029,Education,Iowa State University of Science and Technology,60987,BSEE,1977-01-01
Dave Ellenberger,181029,Education,University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),1342262,MBA,1983-01-01
Dave Ellenberger,181029,Education,Stanford University,61935,MS,1978-01-01
John Gavin Jr,181031,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
John Gavin Jr,181031,Education,Providence College,61633,BS,1978-01-01
Peter Gyenes,181033,Education,Columbia University,60434,BA,1967-01-01
Peter Gyenes,181033,Education,Columbia University,60434,MBA,1970-01-01
Doctor Jim Koch,181038,Education,University of California Los Angeles (UCLA),62218,MBA,1968-01-01
Doctor Jim Koch,181038,Education,University of California,63186,Attended,1987-01-01
Doctor Jim Koch,181038,Education,San Francisco State University,61777,BA,1966-01-01
Doctor Jim Koch,181038,Education,University of California Los Angeles (UCLA),62218,PhD,1972-01-01
Doctor Jim Koch,181038,Education,Harvard Business School,63013,Attended,1983-01-01
Jean Smith,181041,Education,Scripps College,117871,BA,1959-01-01
Jean Smith,181041,Education,Drucker School Claremont Graduate University,82125,Graduated,
Doctor Thomas Pledger Jr,181045,Education,Palm Beach Atlantic University,464821,Graduated,1984-01-01
Doctor Thomas Pledger Jr,181045,Education,Palm Beach Atlantic University,464821,Graduated,1989-01-01
John Miller,181047,Education,Indiana University School of Business,795916,BS,1989-01-01
John Miller,181047,Education,University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),1342262,MBA,1995-01-01
Alan Hoops,181048,Education,University of California Los Angeles (UCLA),62218,BA,
Alan Hoops,181048,Education,University of Washington,62785,MS,
Craig Beam,181053,Education,California State University Fullerton,485005,BBA,1977-01-01
Robert Morrill,181056,Education,Ohio Wesleyan University,61525,BA,1959-01-01
Bill Weyand,181060,Education,Nichols College,87547,BBA,1966-01-01
Doctor Jean-Yves Dexmier,181063,Education,cole Nationale Suprieure de l'Aeronautique et de l'Espace (SUPAERO) (ENSAE),63028,PhD,
Doctor Jean-Yves Dexmier,181063,Education,Lycee Pasteur,463242,BA,1973-01-01
Doctor Jean-Yves Dexmier,181063,Education,cole Polytechnique - Paris,60598,MBA,
Doctor Jean-Yves Dexmier,181063,Education,Stephen M Ross School of Business University of Michigan (University of Michigan Business School prior to 09/2004),747221,Executive Management Program,
Jack Anderson,181067,Education,Ohio University,61524,Graduated,1947-01-01
Jack Anderson,181067,Education,Columbia Business School,63118,MBA,1949-01-01
Dave Carpenter,181071,Education,University of Michigan,63187,BA,1959-01-01
Dave Carpenter,181071,Education,University of Michigan,63187,MS,1960-01-01
Ben Lenhardt Jr,181079,Education,Fletcher School of Law and Diplomacy Tufts University,117861,Masters Degree,
Rob Briskman,181081,Education,Princeton University,61632,BSEE,1953-01-01
Rob Briskman,181081,Education,University of Maryland College Park,62449,MSEE,1954-01-01
Don Marshall,181082,Education,University of Texas at Austin,62742,BS (Hons),
Lawrence Gilberti,181083,Education,Woodrow Wilson School of Public and International Affairs Princeton University,79060,AB,1972-01-01
Lawrence Gilberti,181083,Education,New York University School of Law,574794,JD,1975-01-01
Joe Vittoria,181084,Education,Yale University,62981,BS,1957-01-01
Joe Vittoria,181084,Education,Columbia Business School,63118,MBA,1959-01-01
Robert Alspaugh,181085,Education,Baylor University,60138,BBA (summa cum laude),1970-01-01
Ralph Andersen,181086,Education,University of California Berkeley,62215,Bachelor's Degree,
Ralph Andersen,181086,Education,University of California Berkeley,62215,Masters Degree,
Deborah Brittain,181088,Education,Simmons College School of Social Work,1627950,Studied,1974-01-01
Deborah Brittain,181088,Education,Howard University,60889,BA,
Deborah Brittain,181088,Education,Simmons School of Management,269016,Masters Degree,
Doctor Bob Byers,181089,Education,Drexel University (Formerly known as Drexel Institute of Technology),60542,BS,1960-01-01
Doctor Bob Byers,181089,Education,Drexel University (Formerly known as Drexel Institute of Technology),60542,PhD,
Marlene Collins,181090,Education,Arizona State University,60074,Attended,
Marlene Collins,181090,Education,Mesa Community College,661300,Attended,
Wayne Drinkward,181092,Education,Harvey Mudd College,60830,BS,1973-01-01
Doctor Al Paladino,181093,Education,Alfred University,60030,BS,1954-01-01
Doctor Al Paladino,181093,Education,Alfred University,60030,MS,1956-01-01
Doctor Al Paladino,181093,Education,Massachusetts Institute of Technology (MIT),40436,ScD,
Linda Meier,181095,Education,Stanford University,61935,BA,1961-01-01
Susan Gillette,181096,Education,Northern Illinois University,61475,BA,
Susan Gillette,181096,Education,Northwestern University,61494,Attended,
Doctor Bob Goodwin,181097,Education,Texas A&M University,62040,Graduated,
Doctor Bob Goodwin,181097,Education,University of Tulsa,89471,MA,
Doctor Bob Goodwin,181097,Education,Oral Roberts University,583515,BA,1970-01-01
Doctor Bob Goodwin,181097,Professional Qualifications,San Francisco Theological Seminary,1228010,MA,1973-01-01
Jerry Jones,181100,Education,University of Arkansas,76399,BS,1965-01-01
Jerry Jones,181100,Education,University of Arkansas,76399,MS,1965-01-01
Jerry Jones,181100,Education,Unknown Organisation,0,MBA,
Dave Norbury,181101,Education,Santa Clara University,61782,MBA,1982-01-01
Dave Norbury,181101,Education,Stanford University,61935,MS,
Dave Norbury,181101,Education,University of Michigan,63187,BS,1972-01-01
Vice Admiral Michael Kalleres,181102,Education,National War College,78607,Graduated,
Vice Admiral Michael Kalleres,181102,Education,Purdue University Krannert School of Management,79841,BS,1963-01-01
Vice Admiral Michael Kalleres,181102,Education,Naval War College,79927,Graduated,
Vice Admiral Michael Kalleres,181102,Education,George Washington University,60749,MS,
Bill Pratt,181103,Education,Villanova University,62858,BSEE,1964-01-01
Jerry Lee,181105,Education,Youngstown State University (YSU),96332,BA,
Rob Pace,181106,Education,Oregon State University,61547,Graduated,
Rob Pace,181106,Education,Harvard Business School,63013,Graduated,1986-01-01
Erik Van der Kaay,181107,Education,Bucknell University,60229,Postgraduate Degree,1967-01-01
Erik Van der Kaay,181107,Education,Concordia University,60442,Graduated,
Erik Van der Kaay,181107,Education,Northeastern University,61472,Postgraduate Degree,
Erik Van der Kaay,181107,Education,Massachusetts Institute of Technology (MIT) Sloan School of Management,63283,Senior Executive Program,1982-01-01
Erik Van der Kaay,181107,Education,Sir George Williams University,575025,BS,1962-01-01
Walter Wilkinson Jr,181109,Education,North Carolina State University (NCSU),61450,BS,1968-01-01
Walter Wilkinson Jr,181109,Education,Harvard Business School,63013,MBA,1974-01-01
Walter Wilkinson Jr,181109,Professional Qualifications,National Association of Corporate Directors (NACD) (USA),69495,Leadership Program,
Vernon Parker,181110,Education,Long Beach City College (LBCC),63652,Attended,
Vernon Parker,181110,Education,Georgetown University Law Center (Georgetown Law School),79195,JD,
Vernon Parker,181110,Education,California State University (CSU),60252,BS,1988-01-01
Bob Bruggeworth,181113,Education,Wilkes University,101787,BS,1983-01-01
Daniel DiLeo,181114,Education,Purdue University,61638,MSc,
Daniel DiLeo,181114,Education,Brooklyn Polytechnic Institute,581109,BSc,1969-01-01
Daniel DiLeo,181114,Education,Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration),60651,Executive MBA,
Daniel DiLeo,181114,Education,Tuck School of Business at Dartmouth (Amos Tuck School of Business Administration),632975,Executive MBA,
Phil Russell,181115,Education,University of Hawaii,62352,Graduated,1967-01-01
Ambassador Pete Romero,181116,Education,Florida State University,60692,BS,1971-01-01
Ambassador Pete Romero,181116,Education,Florida State University,60692,MA,1972-01-01
Chuck Sederstrom Jr,181117,Education,University of South Dakota,83247,JD,1967-01-01
Chuck Sederstrom Jr,181117,Education,Black Hills State University,485907,BA,
Mary Theroux,181121,Education,Stanford University,61935,AB,1985-01-01
Karlheinz Muhr,181122,Education,Aspen Institute,41400,Fellow,
Karlheinz Muhr,181122,Education,Wirtschaftsuniversitt Wien (Vienna University of Economics and Business Administration),643463,Masters Degree,1983-01-01
Karlheinz Muhr,181122,Education,UCLA Anderson School of Management,2460934,MBA,1985-01-01
Peter Derow,181124,Education,Harvard Business School,63013,MBA,1965-01-01
Peter Derow,181124,Education,Harvard College,63125,BA (Hons),1961-01-01
Ambassador Gaddi Vasquez,181125,Education,University of Redlands,79746,BA,
Ambassador Gaddi Vasquez,181125,Professional Qualifications,Santa Ana College,624993,Associate,
Mark Hammond,181126,Education,Wharton School University of Pennsylvania,64966,BSE,1987-01-01
Dick Williamson,181127,Education,Northwestern University,61494,MBA,
Dick Williamson,181127,Education,Stanford University,61935,Executive Development Program,1982-01-01
Dick Williamson,181127,Education,University of Oklahoma,62549,BS,
James Isbister,181129,Education,George Washington University,60749,MA,
