name,name_id,edu_type,university,university_id,qualification,award_date
Tim Power,1946523,Education,University of Adelaide,62129,BA,
Tim Power,1946523,Education,University of Adelaide,62129,LLB,
Tim Power,1946523,Education,University of Adelaide,62129,LLM,1991-01-01
Tim Power,1946523,Education,University of South Australia,610159,Graduate Diploma,1992-01-01
Tim Power,1946523,Education,University of Melbourne,62463,Masters Degree,2015-01-01
Amit Dhingra,1946524,Education,Unknown Organisation,0,Six Sigma Black Belt (SSBB),
Amit Dhingra,1946524,Education,Stephen M Ross School of Business University of Michigan (University of Michigan Business School prior to 09/2004),747221,Studied,
Amit Dhingra,1946524,Education,Unknown Organisation,0,Six Sigma Green Belt (SSGB),
Brendan Quinn,1946526,Education,Monash University,2027826,LLB (Hons),
Brendan Quinn,1946526,Education,Monash University,2027826,Bachelor of Jurisprudence,
Adam Hawkins,1946527,Education,Arizona State University,60074,BA,
Adam Hawkins,1946527,Education,Arizona State University,60074,Graduated (cum laude),
Adam Hawkins,1946527,Education,Thunderbird School of Global Management,923424,MBA (Hons),2009-01-01
Joel Rennie,1946528,Education,University of Western Australia,62793,BSc,2001-01-01
Joel Rennie,1946528,Education,University of Western Australia,62793,LLB,2001-01-01
Doctor Charles Ferguson,1946529,Education,University of Kansas,80243,BS,1981-01-01
Doctor Charles Ferguson,1946529,Education,University of Calgary,86931,PhD,1993-01-01
Doctor Charles Ferguson,1946529,Education,New Mexico Institute of Mining and Technology (NMT),93012,MS,1985-01-01
Alan Rosengarten,1946530,Professional Qualifications,Financial Services Institute of Australasia (Finsia),872585,Graduate Diploma,
Alan Rosengarten,1946530,Education,Monash University,2027826,LLB (Hons),1993-01-01
Alan Rosengarten,1946530,Education,Monash University,2027826,BEcon,
Josh Sgro,1946533,Education,University of Melbourne,62463,BComm (Hons),
Josh Sgro,1946533,Education,University of Melbourne,62463,LLB (Hons),1997-01-01
Terry Baker,1946535,Education,San Diego State University (SDSU),61775,BS,1984-01-01
Terry Baker,1946535,Education,San Diego State University (SDSU),61775,MBA,1989-01-01
Terry Baker,1946535,Education,Point Loma Nazarene University,634162,Attended,1981-01-01
Chris Atkins,1946536,Education,Georgia State University (GSU),60755,MBA,1993-01-01
Chris Atkins,1946536,Education,University of Georgia (UGA),62333,BA,1990-01-01
Sandeep Gill,1946538,Education,Lal Bahadur Shastri (LBS) College,1280288,Studied,
Sandeep Gill,1946538,Education,Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration),60651,MBA,2003-01-01
Amir Kaldor,1946541,Education,Technion - Israel Institute of Technology (IIT),780210,BSc,1994-01-01
Ken Purcell,1946542,Education,Trinity College University of Dublin,62090,Graduated,1995-01-01
Ken Purcell,1946542,Education,Unknown Organisation,0,Chartered Engineer,
Avi Balali,1946543,Education,Open University of Israel,61539,Degree,
Adam Sabloff,1946544,Education,Emory University,60627,BA,1999-01-01
Matt Quarles,1946545,Education,University of Richmond,62632,BS,
Rick Carpani,1946547,Education,Southern Illinois University Carbondale,1471729,BS,1982-01-01
Moshe Kigler,1946548,Education,University of Haifa,62347,MBA,2003-01-01
Moshe Kigler,1946548,Education,Project Management Institute Inc (PMI),489712,Studied,2005-01-01
Moshe Kigler,1946548,Education,Technion - Israel Institute of Technology (IIT),780210,BSc,1999-01-01
Moshe Kigler,1946548,Professional Qualifications,Blackblot Inc,2719615,Certified,
Ben Halpert,1946550,Education,Nova Southeastern University,79815,MS,2010-01-01
Ben Halpert,1946550,Professional Qualifications,International Information System Security Certification Consortium (ISC) Inc,1241221,Certified Information Systems Security Professional (CISSP),
Ben Halpert,1946550,Professional Qualifications,EC-Council,2675062,Certified Chief Information Security Officer (CCISO),
Derek Hunley,1946551,Education,Tennessee Technological University,95677,BS,1995-01-01
Derek Hunley,1946551,Professional Qualifications,International Association for Six Sigma Certification (IASSC),2044588,Six Sigma Green Belt (SSGB),
Mark Bacurin,1946552,Professional Qualifications,CFA Institute (Formerly known as Association of Investment Management and Research (AIMR) (USA)),260936,CFA,1998-01-01
Mark Bacurin,1946552,Education,Bentley University (Bentley College prior to 10/2008),60157,BS (summa Cum Laude),1994-01-01
Ken Green,1946553,Education,Purdue University,61638,BSEE,1988-01-01
Ken Green,1946553,Education,Purdue University,61638,MSEE,1990-01-01
Rob Stieg,1946554,Education,Miami University Ohio,61276,M Arch,
Rob Stieg,1946554,Education,Miami University Ohio,61276,BS,
Sholeh Esmaili-Montoya,1946556,Professional Qualifications,Human Resource Certification Institute Inc (HRCI) (HR Certification Institute),129257,Senior Professional Human Resources Certification (SPHR),
Sholeh Esmaili-Montoya,1946556,Professional Qualifications,eCornell Inc,819993,Certified,
Sholeh Esmaili-Montoya,1946556,Education,California State University East Bay,860669,MPA,2005-01-01
Motti Mor,1946557,Education,University of Derby,62277,BA,2002-01-01
Motti Mor,1946557,Education,Unknown Organisation,0,Associate Degree,
Gal Almog,1946558,Education,Tel Aviv University,62031,BA,1987-01-01
Gal Almog,1946558,Education,University of Maryland College Park,62449,MBA,1990-01-01
Jack Plotkin,1946559,Education,Harvard University,63830,BA,
Claude Dore,1946560,Professional Qualifications,Canadian Institute of Chartered Accountants (CICA),56019,CPA,1983-01-01
Claude Dore,1946560,Education,Universit Laval (Laval University),605194,Bachelor's Degree,1981-01-01
Jen Rudman,1946561,Education,New York University (NYU),61424,BA,2002-01-01
Jen Rudman,1946561,Education,Queens College City University of New York,79873,Studied,2000-01-01
Sheela Ramamurthy,1946563,Education,University of Chicago,42092,BA,2000-01-01
Sheela Ramamurthy,1946563,Education,State University of New Jersey Rutgers (Rutgers University),100431,MS,2002-01-01
Sue Powers,1946564,Education,University of Northern Iowa,80814,BA,1979-01-01
Tomer Benami,1946566,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Tomer Benami,1946566,Education,Michael G Foster School of Business University of Washington,1061724,Bachelor's Degree,
Tomer Benami,1946566,Education,Michael G Foster School of Business University of Washington,1061724,Masters Degree,
Dana Levin-Robinson,1946568,Education,Boston University,60195,Bachelor's Degree,2010-01-01
Dana Levin-Robinson,1946568,Education,New York University (NYU),61424,MBA,2015-01-01
Angelo DeFilippis,1946569,Education,State University of New Jersey Rutgers (Rutgers University),100431,MBA,2016-05-01
Angelo DeFilippis,1946569,Education,Fordham University,60696,BA,2005-01-01
Michael Scalzo,1946571,Education,University of Chicago,42092,BA (Hons),2011-01-01
Michael Scalzo,1946571,Education,Boston University School of Public Health (BUSPH),489028,MPH,2014-01-01
Michael Scalzo,1946571,Education,Christian Brothers Academy,598266,Certified,2007-01-01
Rita Lebedeva,1946572,Education,University of Washington,62785,Bachelor's Degree,2010-01-01
Oscar Torres,1946574,Education,Tisch School of the Arts New York University,814612,MPS (Master of Professional Studies),2009-01-01
Oscar Torres,1946574,Education,School of Visual Arts (SVA),1007013,Studied,2003-01-01
Oscar Torres,1946574,Education,Westchester Community College,755436,AAS,1999-01-01
Oscar Torres,1946574,Education,Purchase College State University of New York,1286417,BFA (Bachelors of Fine Arts Program),2003-01-01
Prasana Ram,1946575,Education,Unknown Organisation,0,Bachelor's Degree,1992-01-01
Prasana Ram,1946575,Education,Institute of Chartered Accountants of India (ICAI),125427,Chartered Accountant,1995-01-01
Brigadier General Jim Iacocca,1946902,Education,Muhlenberg College,102472,Graduated,1988-01-01
Prasana Ram,1946575,Education,Institute of Cost Accountants of India (The) (ICAI),1291918,Cost Accountant,1995-01-01
Lisa Cohn,1946576,Education,Parsons Paris,2719814,Studied,2010-01-01
Lisa Cohn,1946576,Education,Loyola University New Orleans,2710528,BA,2005-01-01
Sumeet Arora,1946577,Education,Stanford University,61935,Certificate,2006-01-01
Sumeet Arora,1946577,Education,Indian Institute of Technology Banaras Hindu University (IIT-BHU),1474980,BTech,
Sumeet Arora,1946577,Education,University of Phoenix,94081,MBA,2004-01-01
Mara Figueroa,1946578,Education,University of Michigan Ann Arbor,550078,BA,
Scott Harrell,1946580,Education,Georgia Institute of Technology (GIT),60751,BS (Hons),2001-01-01
Scott Harrell,1946580,Education,University of North Carolina Kenan Flagler Business School,82925,MBA,2001-01-01
Stacey Ryan,1946582,Education,School of Environmental and Biological Sciences Rutgers University,1574913,BA,2002-01-01
Dan Byrne,1946584,Education,University College Cork (UCC),493744,BE,1970-01-01
Todd Nightingale,1946586,Education,Massachusetts Institute of Technology (MIT),40436,BS,2003-01-01
Todd Nightingale,1946586,Education,Massachusetts Institute of Technology (MIT),40436,MEng,
G Arnold,1946587,Education,University of Arkansas School of Law,483590,JD (magna Cum Laude),2004-01-01
G Arnold,1946587,Education,University of Central Arkansas,113332,BS (summa Cum Laude),2001-01-01
Anand Oswal,1946588,Education,University of Southern California (USC),62673,MS,
Anand Oswal,1946588,Education,College of Engineering Pune (COEP),920006,BS,1996-01-01
Chris Farber,1946591,Education,Wharton School University of Pennsylvania,64966,Certified,
Chris Farber,1946591,Education,Lycoming College,100922,BA,1983-01-01
Kleissler Cosenza,1946592,Education,Villanova University,62858,BS,1999-01-01
Kleissler Cosenza,1946592,Education,Wharton School University of Pennsylvania,64966,Studied,2017-01-01
Kleissler Cosenza,1946592,Education,Wall High School,791655,Studied,1995-01-01
Ed Johnson Jr,1946593,Education,Livingston College,1880593,BA,1979-01-01
Ed Johnson Jr,1946593,Education,Leonard N Stern School of Business New York University,42226,Attended,1983-01-01
Ron Rawdon,1946594,Education,Fairleigh Dickinson University,60671,BS,1989-01-01
Ron Rawdon,1946594,Professional Qualifications,FranklinCovey Corp,2514181,Certified Facilitator,
Cameron Routh,1946595,Education,University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),1342262,MBA,1993-01-01
Cameron Routh,1946595,Education,Boston University,60195,BA,1988-01-01
Joe Stensland,1946596,Education,Colorado State University,60431,BSBA,1994-01-01
Joe Stensland,1946596,Education,McDonough School of Business Georgetown University,664335,Executive MBA,2012-01-01
Michael Timmeny,1946597,Education,Harpur College of Arts and Sciences,871749,BA,
Dan Sumner,1946599,Education,Massachusetts Institute of Technology (MIT),40436,Certificate,2015-01-01
Dan Sumner,1946599,Education,Grove City College,82705,BS,
Dan Sumner,1946599,Education,Stanford University,61935,Graduate Certificate,2014-01-01
Dan Sumner,1946599,Education,Joseph M Katz Graduate School of Business University of Pittsburgh,80831,MBA,2006-01-01
Fiona Fitzmaurice,1946601,Professional Qualifications,Athlone Institute of Technology,818093,BA,2005-01-01
Fiona Fitzmaurice,1946601,Professional Qualifications,Association of Chartered Certified Accountants (ACCA) (Canada),2370930,Chartered Certified Accountant,2007-01-01
Brad Giemza,1946602,Education,DePaul University,60499,MBA,2009-01-01
Brad Giemza,1946602,Education,University of Wisconsin Milwaukee (UWM),79033,BA,1995-01-01
Brett Wingo,1946608,Education,California Polytechnic State University San Luis Obispo (Cal Poly San Luis Obispo),60249,Bachelor's Degree,1989-01-01
Joe Isaacs,1946609,Professional Qualifications,Institute of Scrap Recycling Industries Inc,580050,Studied,2009-01-01
Ryan Engley,1946613,Professional Qualifications,Pragmatic Marketing Inc,734697,Pragmatic Marketing Certified,
Ryan Engley,1946613,Education,University of Alberta,62142,BEd,2011-01-01
Ryan Engley,1946613,Education,Grant MacEwan University,661803,Bachelor's Degree,2009-01-01
Ryan Engley,1946613,Education,Grant MacEwan University,661803,Diploma,2004-01-01
Mark Lange,1946614,Education,Webster University,83128,Bachelor's Degree,2004-01-01
Keith Freeman,1946615,Education,Miami University Ohio,61276,BS (Hons),1989-01-01
Keith Freeman,1946615,Education,University of Chicago Booth School of Business (University of Chicago Graduate School of Business prior to 2008),1342262,MBA,1995-01-01
Ramya Varma,1946616,Education,Wharton School University of Pennsylvania,64966,MBA,
Ramya Varma,1946616,Education,Leonard N Stern School of Business New York University,42226,BS,
Greg Schwarztrauber,1946617,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Greg Schwarztrauber,1946617,Education,Olin Business School Washington University (John M Olin School of Business),82506,MBA,2002-01-01
Greg Schwarztrauber,1946617,Education,Southern Illinois University Carbondale,1471729,BS,1988-01-01
Greg Schwarztrauber,1946617,Education,College of Business University of Illinois at Urbana-Champaign (College of Commerce and Business Administration prior to 2003),1542737,MS,1989-01-01
David Bower,1946619,Education,New York University School of Law,574794,LLM,1984-01-01
David Bower,1946619,Education,University of Pennsylvania Law School,74077,JD,1979-01-01
David Bower,1946619,Education,University of Delaware,79387,BA,1976-01-01
Jenny Haeg,1946621,Education,University of Southern California (USC),62673,Bachelor's Degree (Hons),2003-01-01
Ben Isaacson,1946626,Education,Binghamton University,61944,BA,1997-01-01
Ben Isaacson,1946626,Education,Leonard N Stern School of Business New York University,42226,MBA,2004-01-01
Vaibhav Puranik,1946627,Education,Indian Institute of Management Ahmedabad (IIMA),83228,Post Graduate Diploma,2001-01-01
Vaibhav Puranik,1946627,Education,Shri GS Institute Of Technology & Science,1290195,BE,1999-01-01
Kelly DiBlasi,1946629,Education,Colgate University,60399,BA,2001-01-01
Kelly DiBlasi,1946629,Education,Fordham University School of Law,106197,JD,2004-01-01
Paul Hiltz,1946630,Education,Xavier University,73904,Master of Health Administration (MHA),1983-01-01
Paul Hiltz,1946630,Education,Xavier University,73904,BS,
John Neal,1946634,Education,Middlebury College,61284,BA,
Jonathan Commons,1946635,Education,University of North Carolina Chapel Hill,62533,MBA,2004-01-01
Jonathan Commons,1946635,Education,Massey University,491500,BBS (Bachelor of Business Studies),2002-01-01
Jonathan Commons,1946635,Education,Auckland University of Technology,926599,Attended,1988-01-01
Doctor Mitchell Mutz,1946638,Professional Qualifications,National Centre for Orchestral Studies,2719894,Studied,
Doctor Mitchell Mutz,1946638,Education,Princeton University,61632,Studied,1997-01-01
Doctor Mitchell Mutz,1946638,Education,Harvard University,63830,Studied,1986-01-01
Doctor Mitchell Mutz,1946638,Education,Oberlin College,82618,Bachelor's Degree,1985-01-01
Doctor Mitchell Mutz,1946638,Education,Goldsmiths College University of London,60766,MA,1988-01-01
Doctor Mitchell Mutz,1946638,Education,University of Rochester,62633,PhD,1997-01-01
Jared Friedmann,1946641,Education,Columbia Law School,64891,JD,2003-01-01
Jared Friedmann,1946641,Education,Cornell University School of Industrial and Labor Relations,488224,BS,2000-01-01
Morgan Flatley,1946643,Education,Harvard Business School,63013,MBA,2004-01-01
Morgan Flatley,1946643,Education,Dartmouth College,60488,BA,1996-01-01
Kate Doerge,1946654,Education,Hamilton College,60814,Bachelor's Degree (Hons),1996-01-01
Glennis Williams,1946657,Education,University of Phoenix,94081,MBA,2006-01-01
Glennis Williams,1946657,Education,Idaho State University,60901,BBA,1999-01-01
Guy Hoffman,1946664,Education,Dallas Theological Seminary,422026,MA,
Guy Hoffman,1946664,Education,Texas A&M University,62040,BBA (Cum Laude),
