name,name_id,edu_type,university,university_id,qualification,award_date
Jose Girard,1630153,Education,Unknown Organisation,0,Attended,
Jose Girard,1630153,Education,Unknown Organisation,0,Executive Development Program,
Jose Girard,1630153,Education,Universit du Qubec  Chicoutimi (UQAC),593986,BS,
Robert Modica,1630154,Education,Albany Law School Union University,661893,JD,2000-01-01
Robert Modica,1630154,Education,University at Albany State University of New York (State University of New York at Albany (SUNYA)),875874,BS,1996-01-01
Peter Scaff,1630155,Education,University of Texas at Austin,62742,BA,1997-01-01
Peter Scaff,1630155,Professional Qualifications,Association of Certified Fraud Examiners (ACFE),379372,Certified Fraud Examiner,2013-11-01
Peter Scaff,1630155,Education,University of Houston Law Center (UH),76671,JD (magna Cum Laude),2000-01-01
Robert Goldstein,1630156,Education,Florida International University (FIU),82197,BA (Hons),1986-01-01
Robert Goldstein,1630156,Education,George Washington University Law School,82827,JD (Hons),1989-01-01
Steve Wilson,1630157,Education,Northeast Louisiana University,118952,BBA,1982-01-01
Steve Wilson,1630157,Education,University of Mississippi School of Law,882868,JD,1991-01-01
Steve Wilson,1630157,Education,New York University (NYU),61424,LLM,1992-01-01
Doctor Dan Heaney,1630158,Education,University of Alberta,62142,BSc,1980-01-01
Doctor Dan Heaney,1630158,Education,University of Alberta,62142,MSc,1985-01-01
Doctor Dan Heaney,1630158,Education,University of Alberta,62142,PhD,2001-01-01
Doctor Dan Heaney,1630158,Professional Qualifications,Prairie Certified Crop Adviser Board,2359547,Certified Crop Adviser (CCA),
Doctor Dan Heaney,1630158,Professional Qualifications,Agrologists Canada,2359553,Professional Agrologist,
Brian Mooney,1630159,Education,University of California Davis,62216,BA (Hons),1985-01-01
Brian Mooney,1630159,Education,UCLA School of Law,640561,JD,1989-01-01
Matt Schroeder,1630160,Education,Texas Tech University,62046,BA (summa cum laude),1990-01-01
Matt Schroeder,1630160,Education,Texas Tech University School of Law,565400,JD (magna Cum Laude),1994-05-01
Steven Guiton,1630161,Education,Simon Fraser University,61839,MA,
Steven Guiton,1630161,Education,University of British Columbia (UBC),62203,Doctorate,
Steven Guiton,1630161,Education,University of Toronto,62752,BA,
Sid Dutchak,1630163,Education,University of Saskatchewan,82843,LLB,1973-01-01
Joe Windle,1630164,Education,University of Alabama (UA),62136,BS,1988-01-01
Joe Windle,1630164,Education,Cumberland School of Law Samford University,461071,JD,1995-01-01
Patrick Moran,1630165,Education,University of Illinois Urbana-Champaign (UIUC),77782,BA,2000-01-01
Patrick Moran,1630165,Education,John Marshall Law School,78808,JD (Cum Laude),2003-01-01
