name,name_id,edu_type,university,university_id,qualification,award_date
Michael Griffinger,1720541,Education,Cornell University,60457,BA,
Peter Mintzberg,1720542,Education,Stanford University Graduate School of Business,67360,Executive Education Program,2015-01-01
Peter Mintzberg,1720542,Education,Harvard University,63830,MBA,1998-01-01
Peter Mintzberg,1720542,Education,Harvard University,63830,BS,
Sneha Devadason,1720543,Education,Columbia Law School,64891,LLM,
Sneha Devadason,1720543,Education,Columbia Law School,64891,JD,
Scott Sandbo,1720544,Education,Denison University,60524,BA (magna cum laude),1983-01-01
Scott Sandbo,1720544,Education,Northwestern University,61494,MBA (Hons),1986-01-01
Frank Hadden,1720545,Education,Delaware Law School,82767,JD (Cum Laude),1984-01-01
Frank Hadden,1720545,Education,St Joseph's University,64795,BS,1980-01-01
Charles Sara,1720546,Education,University of North Carolina Chapel Hill,62533,BA,1972-01-01
Charles Sara,1720546,Education,Antonin Scalia Law School George Mason University (George Mason University School of Law prior to 05/2016),464018,JD,1981-01-01
Charles Sara,1720546,Education,Virginia Polytechnic Institute and State University (Virginia Tech),110197,Masters Degree,1978-01-01
Alyce Halchak,1720547,Education,Marywood College,263171,BA (Cum Laude),1971-01-01
Alyce Halchak,1720547,Education,New York University School of Law,574794,LLM,1982-01-01
Alyce Halchak,1720547,Education,Catholic University of America Columbus School of Law,79142,JD,1975-01-01
Sophia Yang,1720548,Education,Pomona College,61610,Graduated,2011-01-01
Gregory Scallon,1720549,Education,University of Wisconsin Law School,784807,JD (Cum Laude),1977-01-01
Gregory Scallon,1720549,Education,University of Wisconsin Platteville,534326,BS (magna Cum Laude),1972-01-01
William Hatfield,1720550,Education,Vermont Law School,482377,JD (Cum Laude),1993-01-01
William Hatfield,1720550,Education,Vermont Law School,482377,MS (summa cum laude),1993-01-01
William Hatfield,1720550,Education,Brown University,60224,BA,1989-01-01
Chris Scherer,1720551,Education,Marquette University,61231,BS,1996-01-01
Chris Scherer,1720551,Education,John Marshall Law School,78808,JD,1999-01-01
Howard Schoenfeld,1720552,Education,University of Wisconsin Milwaukee (UWM),79033,BS,1969-01-01
Howard Schoenfeld,1720552,Education,University of Wisconsin Law School,784807,JD,1971-01-01
Terry Schallich,1720553,Education,Yale University,62981,BA,1984-05-01
Arjun Sethi,1720554,Education,Boston University,60195,Attended,
Arjun Sethi,1720554,Education,University of Maryland College Park,62449,BA,
Arjun Sethi,1720554,Education,Mission San Jose High School (MSJHS),1485576,Attended,
Jennifer Hradil,1720555,Education,Dickinson College,80123,BA,1994-01-01
Jennifer Hradil,1720555,Education,Seton Hall University School of Law,464664,JD (summa Cum Laude),1997-01-01
David Schwartz,1720557,Education,University of South Dakota School of Law,2462904,JD,1978-01-01
David Schwartz,1720557,Education,University of Denver,62276,BA,1974-01-01
Carl Anderson,1720558,Education,Stanford University Graduate School of Business,67360,MBA,1999-01-01
Carl Anderson,1720558,Education,Princeton University,61632,AB (Summa Cum Laude),1995-01-01
Ashley Carroll,1720559,Education,Stanford University,61935,BA,2005-01-01
Ashley Carroll,1720559,Education,Stanford University Graduate School of Business,67360,MBA,2010-01-01
Ashley Carroll,1720559,Education,Stanford Graduate School of Education,2292870,MA,2010-01-01
Steve Lidberg,1720560,Education,Portland State University,61621,BA,1992-01-01
Steve Lidberg,1720560,Professional Qualifications,CFA Institute and Investment Analysts Society of Chicago,604177,Chartered Financial Analyst,
Sakya Duvvuru,1720561,Education,University of California Berkeley,62215,BA,2010-01-01
Stephen Imbriglia,1720562,Education,Wesleyan University,62908,BA (Cum Laude),1977-01-01
Stephen Imbriglia,1720562,Education,Boston College Law School (BCLS),82648,JD (Cum Laude),1980-01-01
Molly Graham,1720563,Education,Wesleyan University,62908,BA,2004-01-01
Molly Graham,1720563,Education,School for International Training (SIT),1347070,Studied,2003-01-01
Jim Rovito,1720564,Education,Lehigh University,61143,BA,1986-01-01
Jenny Zhao,1720565,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Jenny Zhao,1720565,Education,Rutgers University New Brunswick,2419095,BS,2010-01-01
Lauren Thibodeau,1720566,Education,Queen's University,63329,BComm,
Lauren Thibodeau,1720566,Education,Universit d'Ottawa (University of Ottawa),63569,MA,
Lauren Thibodeau,1720566,Education,Western University,880267,BA,
Lauren Thibodeau,1720566,Education,Western University,880267,BEd,
Lauren Thibodeau,1720566,Education,Universite Catholique de Louvain (UCL) (University of Louvain),63180,Graduated,
Brigette Lau,1720567,Education,McDonough School of Business Georgetown University,664335,MBA,2007-01-01
Brigette Lau,1720567,Education,University of Waterloo,62786,BASc,1999-01-01
Dominic Thomas,1720568,Education,Universit d'Ottawa (University of Ottawa),63569,BComm,1995-01-01
Mike Keating,1720570,Education,Harvard Law School,63035,LLB,1965-01-01
Mike Keating,1720570,Education,Williams College,62961,BA (Cum Laude),1962-01-01
John Klock,1720571,Education,St Bonaventure University,79974,BA (magna cum laude),1966-01-01
John Klock,1720571,Professional Qualifications,New Jersey Supreme Court,602420,Certified Civil Trial Advocate Specialist,
John Klock,1720571,Education,Rutgers School of LawNewark,1880288,JD,1976-01-01
John Klock,1720571,Education,New York University (NYU),61424,MA,1970-01-01
Ashley Mayer,1720572,Education,Georgetown University,60750,BA (summa cum laude),2007-01-01
Tom Holmes,1720574,Education,University of Illinois Urbana-Champaign (UIUC),77782,BA,1993-01-01
Tom Holmes,1720574,Education,Kellogg School of Management Northwestern University,77878,MBA,2003-01-01
Thomsen Hearne,1720575,Education,University of Pennsylvania,62579,BA (magna cum laude),2013-01-01
Birgit Kurtz,1720576,Education,Fordham University School of Law,106197,JD,1996-01-01
Birgit Kurtz,1720576,Education,JurGrad gGmbH University of Mnster,1918325,JD,1990-01-01
Adam Nelson,1720579,Education,Stanford University Graduate School of Business,67360,MBA,2012-01-01
Adam Nelson,1720579,Education,Brown University,60224,BS,2006-01-01
Edward Larkin,1720580,Education,Fordham University School of Law,106197,JD,1978-01-01
Edward Larkin,1720580,Education,Holy Cross College,124441,BA,1975-01-01
Jim Lee,1720581,Education,Fordham University School of Law,106197,JD,1987-01-01
Jim Lee,1720581,Education,Fairfield University,39472,BS,1984-01-01
Jay Zaveri,1720582,Education,University of Mumbai (University of Bombay prior to 09/1996),76151,BE,1996-01-01
Bruce Levy,1720583,Education,New York University School of Law,574794,JD,1988-01-01
Bruce Levy,1720583,Education,Brandeis University,60203,BA (Cum Laude),1984-01-01
Barry Liss,1720584,Education,University of Wisconsin-Madison,751347,BS (Distinction),1984-01-01
Barry Liss,1720584,Education,University of Wisconsin-Madison,751347,MS,1986-01-01
Barry Liss,1720584,Education,Rutgers School of LawNewark,1880288,JD,1994-01-01
Musa Jagne,1720585,Education,University of Bridgeport,62201,BS,2002-01-01
Musa Jagne,1720585,Education,University of Texas at Arlington,62741,MBA,2006-01-01
Terry Johnson,1720586,Education,Auburn University,1354261,BS,
Nancy Lottinville,1720587,Education,Loyola University Chicago,1578750,BA,1972-01-01
Nancy Lottinville,1720587,Education,Loyola University School of Law in Chicago,587271,JD,1975-01-01
Ryan Johnson,1720588,Education,Eastern New Mexico University,82554,BBA,2003-01-01
Ryan Johnson,1720588,Education,College of Business Administration University of Texas at El Paso (UTEP),2347804,MBA,2005-01-01
Michael Lubben,1720589,Education,Fairleigh Dickinson University,60671,BS (magna Cum Laude),1992-01-01
Michael Lubben,1720589,Education,New York Law School,77963,JD,1996-01-01
Dave Karnofel Karnofel,1720592,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Lawrence Lustberg,1720593,Education,Harvard Law School,63035,JD (Cum Laude),1983-01-01
Lawrence Lustberg,1720593,Education,Harvard University,63830,BA (magna cum laude),1979-01-01
Lawrence Lustberg,1720593,Education,Swedish Institute for Social Research (SOFI) Stockholm University,1640075,Degree,
Jason Kimball,1720594,Education,Stephen F Austin State University,120101,BBA,
Jason Kimball,1720594,Education,University of North Texas System (UNTS),2425442,MBA,
Jim Korreck,1720595,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Jim Korreck,1720595,Education,University of Detroit,62278,MBA,
Bill Kushnir,1720596,Education,Oral Roberts University,583515,BS,
Keith Halleland,1720598,Education,University of Iowa,62375,BA,
Keith Halleland,1720598,Education,Seattle University School of Law,817955,JD,
Joe Leary,1720599,Education,Syracuse University,61983,BS,1991-01-01
Joe Leary,1720599,Education,Leonard N Stern School of Business New York University,42226,MBA,2000-01-01
Hank Handzel Jr,1720600,Education,Canisius College,60276,BS,
Hank Handzel Jr,1720600,Education,Saint Louis University School of Law,465791,JD,
David Hase,1720601,Education,Dartmouth College,60488,AB,1962-01-01
David Hase,1720601,Education,University of Wisconsin Law School,784807,LLB,1965-01-01
Brad Hauck,1720602,Education,University of Minnesota,62475,BS (summa Cum Laude),1982-01-01
Brad Hauck,1720602,Education,University of Wisconsin Law School,784807,JD (Cum Laude),1985-01-01
Hugh Hayes,1720603,Education,University of Wisconsin Law School,784807,JD,
Hugh Hayes,1720603,Education,Georgetown University,60750,BS,
Beth Schmiedel,1720604,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,1982-01-01
Beth Schmiedel,1720604,Education,University of North Texas (UNT) (Formerly known as North Texas State University),62539,BS,1979-01-01
