name,name_id,edu_type,university,university_id,qualification,award_date
Sam Dawson,766830,Education,University of Texas at Austin,62742,BS,1983-01-01
Mike De La Garza,766831,Education,Trinity University San Antonio Texas,109566,MA,1989-01-01
Mike De La Garza,766831,Education,Harvard University,63830,BA,1982-01-01
Trish DeBerry-Mejia,766833,Education,Trinity University San Antonio Texas,109566,BA (Cum Laude),
Trish DeBerry-Mejia,766833,Education,University of Texas at San Antonio,79131,Attended,1985-01-01
Trish DeBerry-Mejia,766833,Education,Trinity University San Antonio Texas,109566,Attended,1987-01-01
Dan Decker,766834,Education,University of Hartford,62350,BBA,
Doctor Alfonso Alanis,766835,Professional Qualifications,American Board of Internal Medicine (ABIM),36377,Certified,
Doctor Alfonso Alanis,766835,Professional Qualifications,Mexican Board of Internal Medicine,1241817,Certified,
Doctor Alfonso Alanis,766835,Education,Universidad Nacional Autonoma de Mexico (UNAM),62494,Graduated (magna cum laude),
Doctor Alfonso Alanis,766835,Education,Universidad Nacional Autonoma de Mexico (UNAM),62494,MD,1976-01-01
Mike Alley,766836,Education,Indiana State University,60919,BA (magna cum laude),1978-01-01
Mike Alley,766836,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Doctor Charles Bantz,766838,Education,Ohio State University (OSU),61523,PhD,1975-01-01
Doctor Charles Bantz,766838,Education,University of Minnesota,62475,BS,1971-01-01
Doctor Charles Bantz,766838,Education,University of Minnesota,62475,MA,1973-01-01
Phil Bayt,766839,Education,Indiana University,60920,Doctor of Jurisprudence,1980-01-01
Phil Bayt,766839,Education,Indiana University,60920,MBA,1980-01-01
Phil Bayt,766839,Education,Macalester College,80775,BA (summa cum laude),1974-01-01
Paul Lithgow,766840,Professional Qualifications,Trinity Theological Seminary,1490176,Studied,
Paul Lithgow,766840,Education,University of Arizona (UOA),62155,BS,1987-01-01
Paul Lithgow,766840,Education,Wright State University (WSU),374267,MS,1991-01-01
Alpha Blackburn,766842,Education,Howard University,60889,BA (Cum Laude),1961-01-01
Alpha Blackburn,766842,Education,Howard University,60889,MFA,1963-01-01
Alpha Blackburn,766842,Professional Qualifications,Skowhegan School of Painting & Sculpture,572424,Attended,1962-01-01
Myra Cook,766844,Education,Ball State University,79279,BS,1969-01-01
Mike Bosway,766845,Education,Ohio State University (OSU),61523,MBA (Hons),1982-01-01
Mike Bosway,766845,Education,University of Dayton,62274,BA (magna cum laude),1980-01-01
Mike Bosway,766845,Professional Qualifications,Financial Industry Regulatory Authority (FINRA),955132,Certified,
Dave Bowen,766846,Professional Qualifications,American Institute of Architects (AIA),1552202,Certified,
Dave Bowen,766846,Education,University of Cincinnati,62243,Graduated,1960-01-01
Bob Brody,766847,Education,Duke University,60547,MHA,
Bob Brody,766847,Education,Boston College,60193,BA,
Scott Brown,766849,Education,University of Illinois (UIC),62367,Bachelor's Degree (magna cum laude),1987-01-01
Rene Dominguez,766850,Education,St Mary's University,63236,BA,
Rene Dominguez,766850,Education,St Mary's University,63236,MA,
Rene Dominguez,766850,Professional Qualifications,Centre for Digital Financial Inclusion (CDFI),2828739,Certified,
Ron Brumbarger,766851,Education,Ball State University,79279,BS,
Ron Brumbarger,766851,Education,Ball State University,79279,AS Degree (Associate of Science),1987-01-01
Walter Downing Jr,766852,Education,Southern Methodist University,61882,BS (Hons),1973-01-01
Walter Downing Jr,766852,Education,University of Houston,62360,Graduated,1976-01-01
Walter Downing Jr,766852,Education,University of Texas at Austin,62742,Certified,
Walter Downing Jr,766852,Education,Massachusetts Institute of Technology (MIT) Sloan School of Management,63283,Certified,
Walter Downing Jr,766852,Education,University of Texas at San Antonio,79131,MBA,1986-01-01
Walter Downing Jr,766852,Professional Qualifications,Texas Board of Professional Engineers,644919,Registered Professional Engineer,
Walter Downing Jr,766852,Professional Qualifications,Florida Board of Professional Engineers,1284731,Registered Professional Engineer,2006-03-27
Walter Downing Jr,766852,Education,US Air Force,243846,Completed,
Gary Dudley,766855,Education,Sam Houston State University,80768,BBA,1969-01-01
Steve Dufilho,766856,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Steve Dufilho,766856,Education,University of St Thomas,80829,BA,
Steve Dufilho,766856,Education,Saint Mary's University,491618,MA,
Leon Ewing,766858,Education,Abilene Christian University,78437,BS,
Blakely Fernandez,766860,Education,Pepperdine University,61585,BA,1991-01-01
Blakely Fernandez,766860,Education,St Mary's University,63236,MA,1998-01-01
Blakely Fernandez,766860,Education,St Mary's University School of Law,1511685,JD (summa Cum Laude),2002-01-01
Paul Foster,766861,Education,Texas Tech University,62046,Bachelor's Degree,1980-01-01
Paul Foster,766861,Professional Qualifications,Construction Management Association of America (CMAA),800993,Certified Construction Manager,
Mark Frye,766864,Education,Ohio State University (OSU),61523,MS,
Mark Frye,766864,Education,University of Miami,62467,AB,
Mark Frye,766864,Education,University of Denver,62276,Postgraduate Studies,
Joie Chitwood III,766865,Education,University of Cambridge,60268,Studied,
Joie Chitwood III,766865,Education,University of Florida,62323,Graduated,1992-01-01
Joie Chitwood III,766865,Education,University of South Florida (USF),62670,MBA,1995-01-01
Ken Fukuta,766866,Professional Qualifications,Nagoya Institute of Technology (NIT),1609829,Masters Degree,
Steve Corbitt,766869,Education,Clark Atlanta University,60379,Executive Education Program,
Steve Corbitt,766869,Education,Tuck School of Business at Dartmouth (Amos Tuck School of Business Administration),632975,Executive Program,1997-01-01
Steve Corbitt,766869,Education,Midwest University,1191826,Attended,
Steve Corbitt,766869,Education,Indiana State University,60919,BA,1986-01-01
Bill Corley,766870,Education,Duke University,60547,MHA,
Bill Corley,766870,Education,Business School of the College of William and Mary,491443,BA,
Barbara Gentry,766871,Education,St Mary's University,63236,BA,1971-01-01
Tom Dapp,766872,Education,University of Wisconsin,63062,Bachelor's Degree,1964-01-01
Tom Dapp,766872,Education,University of Wisconsin,63062,MBA,1965-01-01
D DeFur,766873,Education,Xavier University,73904,MHA,1988-01-01
D DeFur,766873,Education,Xavier University,73904,MBA,1987-01-01
D DeFur,766873,Education,Anderson University,266667,Bachelor's Degree,1985-01-01
Rand Goldstein,766875,Education,Tulane University,62098,BA,1975-01-01
Rand Goldstein,766875,Education,McCombs School of Business University of Texas at Austin,466303,MBA,1980-01-01
Jim Dora Jr,766877,Education,Purdue University,61638,Degree,
