name,name_id,edu_type,university,university_id,qualification,award_date
Kristine Seymour,2100831,Education,Marquette University Law School,1204220,JD,
Bill Vitale,2100832,Education,Michigan State University (MSU),61278,BSBA,2011-01-01
Bill Vitale,2100832,Education,Wayne State University Law School,103157,JD,2014-01-01
Matthew Joblove,2100833,Education,Goizueta Business School Emory University,104642,BBA (Distinction),2011-01-01
Tess Fusser,2100834,Education,Florida State University,60692,BS,2012-01-01
Kristine Mullen,2100837,Education,Ohio University,61524,BASc,
Kristine Mullen,2100837,Education,University of North Carolina Chapel Hill,62533,Masters Degree,
Kristine Mullen,2100837,Education,Project Management Institute Inc (PMI),489712,Project Management Professional,
Andrew Zacharias,2100841,Education,Texas Christian University (TCU),62043,BBA (magna cum laude),
Andrew Zacharias,2100841,Education,Kellogg School of Management Northwestern University,77878,Masters Degree,2006-01-01
Andrew Zacharias,2100841,Education,Kellogg School of Management Northwestern University,77878,MBA,2006-01-01
Andrew Zacharias,2100841,Professional Qualifications,Turnaround Management Association (TMA),1676971,Certified Turnaround Professional (CTP),
Kimberly Carter,2100844,Education,Unknown Organisation,0,Graduate Certificate,
Kimberly Carter,2100844,Education,Texas Christian University (TCU),62043,BBA (summa cum laude),
Kimberly Carter,2100844,Education,University of Phoenix,94081,Master of Management (MM),
Kimberly Carter,2100844,Professional Qualifications,Institute of Certified Financial Planners (ICFP),1479053,Certified Financial Planner,
Robby Avery,2100845,Education,University of Texas at Austin,62742,BS (Hons),2001-01-01
Robby Avery,2100845,Education,Kellogg School of Management Northwestern University,77878,MBA (Distinction),2006-01-01
Robby Avery,2100845,Professional Qualifications,CFA Institute (Formerly known as Association of Investment Management and Research (AIMR) (USA)),260936,CFA,
Darrianne Christian,2100848,Education,DePauw University,60500,Bachelor's Degree,1995-01-01
Darrianne Christian,2100848,Education,Mendoza College of Business University of Notre Dame,532330,MBA,
Deborah Sherwin,2100852,Education,George Washington University,60749,BFA,2007-01-01
Robert Criste,2100853,Education,Elon University (Elon College prior to 06/2001),115946,BA,1989-01-01
Robert Criste,2100853,Education,Thunderbird School of Global Management,923424,Masters Degree,1995-01-01
Scott Havis,2100855,Education,University of Texas at Austin,62742,BA,1989-01-01
Mallika Monteiro,2100856,Education,DePaul University,60499,Bachelor's Degree,
Mallika Monteiro,2100856,Education,Harvard Business School,63013,MBA,2007-05-01
Ian Welch,2100863,Education,Coventry University,64947,BBA,1999-01-01
David Daz,2100873,Education,Universidad Complutense de Madrid (Complutense University of Madrid) (UCM),62263,Studied,
David Daz,2100873,Education,Universidad San Pablo-CEU (Saint Paul-CEU Universtiy),785971,Degree,1993-01-01
Juliet Ellis,2100874,Professional Qualifications,Institute of Chartered Financial Analysts (ICFA) (USA),41274,Chartered Financial Analyst,
Juliet Ellis,2100874,Education,Indiana University,60920,BA (Cum Laude),
Rodrigo Montemayor-Villarreal,2100875,Education,Universidad de Monterrey,76747,Degree,1999-01-01
Rodrigo Montemayor-Villarreal,2100875,Education,Instituto Panamericano de Alta Direccion de Empresas (IPADE),113887,Executive Education Program,2008-01-01
Rodrigo Montemayor-Villarreal,2100875,Education,New York University School of Law,574794,LLM,2003-01-01
Rodrigo Montemayor-Villarreal,2100875,Education,Escuela de Graduados en Administracion y Direccion de Empresas (EGADE) Business School,1708972,Executive Education Program,2015-01-01
Arun Samuga,2100876,Education,Georgia State University (GSU),60755,MBA,2005-01-01
Arun Samuga,2100876,Education,Indian Institute of Technology (IIT) Bombay,567548,BTech,1994-01-01
John Nelson,2100878,Education,University of Edinburgh,60610,LLB,2004-01-01
John Nelson,2100878,Education,University of Edinburgh,60610,Post Graduate Diploma,2005-01-01
