name,name_id,edu_type,university,university_id,qualification,award_date
Fernando Cortes,2026855,Education,Universidad Iberoamericana,1341986,Bachelor's Degree,
Steve Charbonneau,2026859,Education,Queen's University,63329,BSc,1985-01-01
Steve Charbonneau,2026859,Education,Queen's University,63329,MSc,
Andrece Housley,2026864,Professional Qualifications,California Institute of Certified Public Accountants,485017,CPA,
Andrece Housley,2026864,Professional Qualifications,California Board of Accountancy,2350878,Certified,2003-03-14
Richard Jones,2026868,Education,University of Wales,63551,BEng (Hons),1989-01-01
Roger Roberts,2026871,Education,Stanford University,61935,BS,1987-01-01
Roger Roberts,2026871,Education,Stanford University,61935,MS,1988-01-01
Roger Roberts,2026871,Education,Massachusetts Institute of Technology (MIT) Sloan School of Management,63283,MBA,1992-01-01
Harry Robinson,2026872,Education,Yale University,62981,BA,1988-01-01
Harry Robinson,2026872,Education,Harvard Law School,63035,JD,
Monisha Machado-Pereira,2026873,Education,University of Mumbai,76151,Bachelor of Dental Surgery (BDS),2001-01-01
Monisha Machado-Pereira,2026873,Education,Harvard TH Chan School of Public Health,2309294,MS,2007-01-01
David Lever,2026874,Education,University of Toronto,62752,MBA,1986-01-01
David Lever,2026874,Education,University of Western Ontario,62795,LLB,1982-01-01
David Lever,2026874,Education,London School of Economics (LSE) (London School of Economics and Political Science),38522,MSc,1984-01-01
Paul Roche,2026875,Education,Cornell University,60457,BS,1987-01-01
Paul Roche,2026875,Education,Stanford University,61935,MS,1988-01-01
Paul Roche,2026875,Education,Wharton School University of Pennsylvania,64966,MBA,1993-01-01
Matt Rogers,2026877,Education,Princeton University,61632,BA,1985-01-01
Matt Rogers,2026877,Education,Yale School of Management,63607,MBA,1989-01-01
Marie-Claude Nadeau,2026878,Education,Massachusetts Institute of Technology (MIT),40436,MS,2009-01-01
Marie-Claude Nadeau,2026878,Education,McGill University (Canada),61248,BEng,2007-01-01
Alex Schwartz,2026879,Education,Boston College,60193,MBA,2014-08-01
Raj Parekh,2026881,Education,University of Illinois Urbana-Champaign (UIUC),77782,PhD,1996-01-01
Raj Parekh,2026881,Education,University of California San Diego (UCSD),79941,BS,1991-01-01
Sarit Batner,2026883,Education,University of Western Ontario,62795,BSc (Distinction),1995-01-01
Sarit Batner,2026883,Education,Faculty of Law University of Toronto,1230333,JD,1998-01-01
Tim Ward,2026884,Education,University College Oxford University,63222,MA (Hons),
Stephan Zimmermann,2026885,Education,Technische Universitt Mnchen (Technical University of Munich),62028,MS,
Stephan Zimmermann,2026885,Education,Columbia Business School,63118,MBA,
Sheldon Lyn,2026887,Education,Harvard Business School,63013,MBA,2007-01-01
Sheldon Lyn,2026887,Education,Massachusetts Institute of Technology (MIT),40436,MSc,2001-01-01
Sheldon Lyn,2026887,Education,Howard University,60889,BSc,1999-01-01
Sunil Kapur,2026890,Education,University of Toronto,62752,BSc,1992-01-01
Sunil Kapur,2026890,Education,Osgoode Hall Law School York University,64546,LLB,1995-01-01
Emmanuelle Poupart,2026893,Education,Universit de Montral,591809,Bachelor's Degree,1994-01-01
Emmanuelle Poupart,2026893,Education,Universit de Montral,591809,Diploma,1999-01-01
Tony Canade,2026895,Education,New York University (NYU),61424,Graduated,
Hannes Wilken,2026900,Education,University of South Africa (UNISA),62664,BCompt (Hons),2017-01-01
Hannes Wilken,2026900,Education,University of South Africa (UNISA),62664,Master of Business Leadership (MBL),
Hannes Wilken,2026900,Education,Stellenbosch University,62685,Bachelor's Degree,
Hannes Wilken,2026900,Education,South African Institute of Chartered Accountants (SAICA),74592,CA,
Doctor Isabel Yang,2026903,Education,Massachusetts Institute of Technology (MIT),40436,BS,
Doctor Isabel Yang,2026903,Education,Massachusetts Institute of Technology (MIT),40436,MS,
Doctor Isabel Yang,2026903,Education,Massachusetts Institute of Technology (MIT),40436,PhD,
Shawn O'Connor,2026904,Education,Stanford University Graduate School of Business,67360,Executive Education Program,
Shawn O'Connor,2026904,Education,Haas School of Business University of California Berkeley,757832,AB,1981-01-01
Tom Eldridge,2026905,Education,Dartmouth College,60488,Bachelor's Degree,1985-01-01
Tom Eldridge,2026905,Education,New York University (NYU),61424,JD,1990-01-01
Tom Eldridge,2026905,Education,University of Maryland College Park,62449,MBA,2012-01-01
Bill Beckler,2026906,Education,Columbia Law School,64891,JD,2000-01-01
Bill Beckler,2026906,Education,Colgate University,60399,BA,1997-01-01
Doctor Qingshen Liu,2026907,Education,South China Agricultural University,1223018,PhD,
Matt Curley,2026908,Education,University at Albany State University of New York (State University of New York at Albany (SUNYA)),875874,BA,1994-01-01
Matt Curley,2026908,Education,Vanderbilt Law School,2363035,JD,1997-01-01
Michael Dagley,2026909,Education,Middle Tennessee State University,620900,BA,1978-01-01
Michael Dagley,2026909,Education,Vanderbilt Law School,2363035,JD,1981-01-01
Lee Brooks,2026911,Education,Boston University,60195,MA,1992-01-01
