name,name_id,edu_type,university,university_id,qualification,award_date
Andy Wappler,1745387,Education,University of Washington,62785,BA (Hons),1986-01-01
Andy Wappler,1745387,Education,Medill School of Journalism Northwestern University,598858,MSc,1989-01-01
Andy Wappler,1745387,Professional Qualifications,American Meteorological Society (AMS),888148,Certified,
Robert Loughran,1745388,Professional Qualifications,Texas Board of Legal Specialization,484689,Certified,1998-01-01
Robert Loughran,1745388,Education,Universidad de Concepcion,1326071,Graduated,1989-01-01
Robert Loughran,1745388,Education,College of the State Bar of Texas (The),1477753,Attended,
Robert Loughran,1745388,Education,University of Madrid,36331,Attended,1991-01-01
Robert Loughran,1745388,Education,University of Texas,63189,BA,1988-01-01
Robert Loughran,1745388,Education,Houston College of Law (Formerly known as South Texas College of Law),81426,JD,1992-01-01
Anna Nerush,1745396,Education,University of Law (Formerly known as College of Law of England and Wales) (The),64927,Studied,2003-01-01
Anna Nerush,1745396,Education,Unknown Organisation,0,Licensed Professional Counselor (LPC),
Anna Nerush,1745396,Education,Brunel University,60225,LLB (Hons),2002-01-01
Mike McGowan,1745397,Professional Qualifications,Occupational Safety & Health Administration (OSHA),1572246,Completed,2006-01-01
Mike McGowan,1745397,Education,University of Ntre Dame,62544,BA (Cum Laude),1983-01-01
Mike McGowan,1745397,Education,Loyola University Chicago,1578750,JD,1988-01-01
Sandra Franco-Aguilera,1745398,Education,University of Illinois Urbana-Champaign (UIUC),77782,BA,2000-01-01
Sandra Franco-Aguilera,1745398,Education,John Marshall Law School,78808,JD,2005-01-01
Rita Garry,1745401,Professional Qualifications,International Advisory Experts,2797938,Certified,2018-03-01
Rita Garry,1745401,Education,Boston University School of Law,833517,JD,1983-01-01
Rita Garry,1745401,Professional Qualifications,Institute of Certified Financial Planners (ICFP),1479053,Certified Financial Planner,1991-01-01
Rita Garry,1745401,Education,Lake Forest College,77954,BA,1979-01-01
John Collen,1745402,Education,Georgetown University Law Center,79195,JD,1980-01-01
John Collen,1745402,Education,Dartmouth College,60488,AB (Summa Cum Laude),1977-01-01
Don Munford Jr,1745403,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Don Munford Jr,1745403,Education,University of North Carolina (UNC),40198,JD,1979-01-01
Don Munford Jr,1745403,Professional Qualifications,Texas Board of Legal Specialization,484689,Certified,
Don Munford Jr,1745403,Education,Davidson College,1795510,AB,1976-01-01
Jim Madison,1745409,Professional Qualifications,Chartered Alternative Investment Analyst Association,946760,Chartered Alternative Investment Analyst (CAIA),
Jim Madison,1745409,Education,Bentley University (Bentley College prior to 10/2008),60157,BS (Hons),
Richard Rodgers,1745410,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Richard Rodgers,1745410,Education,University of Alabama (UA),62136,BS,1991-01-01
Richard Rodgers,1745410,Education,University of Texas at San Antonio,79131,MBA,1998-01-01
Oliver Ide,1745411,Education,University of Virginia,62777,BA,1990-01-01
Oliver Ide,1745411,Education,University of Georgia (UGA),62333,JD,1995-01-01
Oliver Ide,1745411,Education,Terry College of Business University of Georgia,100202,Studied,1995-01-01
Xuyang Zhang,1745413,Education,London School of Economics (LSE) (London School of Economics and Political Science),38522,Studied,2003-01-01
Xuyang Zhang,1745413,Education,Renmin University of China (Formerly known as Peoples University of China),814717,Studied,1997-01-01
Doug Campbell,1745414,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Doug Campbell,1745414,Professional Qualifications,Institute of Chartered Financial Analysts (ICFA) (USA),41274,CFA,1990-01-01
Doug Campbell,1745414,Education,University of Kansas,80243,BSc (Distinction),1982-01-01
Doug Campbell,1745414,Education,Harvard Business School,63013,MBA,1987-01-01
Richard Davidson-Houston,1745417,Education,University of York,62820,BA (Hons),1995-01-01
Richard Davidson-Houston,1745417,Education,Eastbourne College,67387,Graduated,1991-01-01
Clifford Harris,1745419,Education,Vassar College,62845,AB (cum laude),1989-01-01
Clifford Harris,1745419,Education,University of Michigan Law School,75652,JD (magna Cum Laude),1992-01-01
Dan deBrauwere,1745420,Education,University of Southern California (USC),62673,MBA,1983-01-01
Dan deBrauwere,1745420,Professional Qualifications,Six Sigma Institute (SSI),1574156,Certified,
Dan deBrauwere,1745420,Education,University of California Santa Barbara (UCSB) Extension,2416911,BA,1978-01-01
Howard Broadfoot,1745425,Professional Qualifications,American Society for Quality (ASQ) (Formerly known as American Society for Quality Control),126596,Six Sigma Black Belt (SSBB),
Howard Broadfoot,1745425,Education,University of North Alabama,533240,BS,1988-01-01
Howard Broadfoot,1745425,Education,University of North Alabama,533240,MBA,1996-01-01
Howard Broadfoot,1745425,Professional Qualifications,American Production and Inventory Control Society (APICS),604047,Certified,
Ruthanne Largent,1745427,Education,University of Michigan Dearborn,62472,BS,1984-01-01
Steve Wolf,1745429,Education,Rutgers College,76909,BS,1980-01-01
Kim Kamin,1745468,Education,Stanford University,61935,BA (Hons),1993-01-01
Kim Kamin,1745468,Professional Qualifications,National Association of Estate Planners & Councils (NAEPC),642867,Accredited Estate Planner (AEP),
