name,name_id,edu_type,university,university_id,qualification,award_date
Doctor Mark Bloomberg,881166,Education,UMDNJ-Robert Wood Johnson Medical School,83222,MD,1974-01-01
Doctor Mark Bloomberg,881166,Education,UMDNJ-Robert Wood Johnson Medical School,83222,Degree,
Shannon Gao,881179,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,CPA,
Shannon Gao,881179,Education,University of Toledo,62751,Masters Degree,
Shannon Gao,881179,Education,Harbin Institute of Technology,940884,BS,
Tom Shortt,881187,Education,University of Akron,62134,Bachelor's Degree,
Tom Shortt,881187,Education,Harvard Business School,63013,Advanced Management Program,
T Avila,881193,Education,California State University (CSU),60252,BBA,1984-01-01
T Avila,881193,Education,University of Southern California (USC),62673,MBA,1989-01-01
T Avila,881193,Professional Qualifications,Institute for Turnaround (IFT) (Formerly known as Society of Turnaround Professionals),1281817,Certified Turnaround Professional (CTP),
Ole Vahlgren,881201,Education,Danmarks Tekniske Universitet (Technical University of Denmark),62009,Degree,1989-01-01
Ole Vahlgren,881201,Education,Handelshjskolen i Kbenhavn (Copenhagen Business School),63304,MBA,1998-01-01
Harry McGee III,881211,Education,University of Southern California (USC),62673,MBA,1981-01-01
Harry McGee III,881211,Education,California State University Chico,595177,BS,1973-01-01
Mike Lohr,881213,Education,George Washington University Law School,82827,Masters Degree,
Mike Lohr,881213,Education,University of Maryland School of Law (UMSL),481814,Graduated,
Walt Skowronski,881217,Education,Boston University,60195,MBA,1974-01-01
Walt Skowronski,881217,Education,Northeastern University,61472,Bachelor's Degree,1972-01-01
Mike Bair,881219,Education,University of Puget Sound,62612,MBA,1982-01-01
Mike Bair,881219,Education,Washington State University (WSU),62894,BS,1978-01-01
Mike Bair,881219,Education,Massachusetts Institute of Technology (MIT) Sloan School of Management,63283,Masters Degree,1993-01-01
Ray Ferrari,881220,Education,Embry-Riddle Aeronautical University,60622,BS,
Doctor Lou Mancini,881222,Education,University of Illinois Urbana-Champaign (UIUC),77782,BS,
Doctor Lou Mancini,881222,Education,Stanford University,61935,Masters Degree,
Doctor Lou Mancini,881222,Education,Stanford University,61935,PhD,
The Hon. Pat Shanahan,881223,Education,Massachusetts Institute of Technology (MIT),40436,MS,1991-06-01
The Hon. Pat Shanahan,881223,Education,University of Washington,62785,BS,1985-01-01
The Hon. Pat Shanahan,881223,Education,Massachusetts Institute of Technology (MIT) Sloan School of Management,63283,MBA,
Mary Armstrong,881224,Education,University of Rochester,62633,MS,
Mary Armstrong,881224,Education,University of Washington,62785,BS,1979-01-01
Chris Chadwick,881225,Education,Maryville University,78988,MBA,1999-01-01
Chris Chadwick,881225,Education,Iowa State University,1246304,BS,1982-01-01
Darryl Davis,881226,Education,Purdue University,61638,BS,1978-01-01
Darryl Davis,881226,Education,Missouri University of Science & Technology (University of Missouri - Rolla prior to 01/01/2008),1483741,MSME,1985-01-01
Roger Krone,881227,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,
Roger Krone,881227,Education,University of Texas at Arlington,62741,MS,1981-01-01
Roger Krone,881227,Education,Georgia Institute of Technology (GIT),60751,BA,1978-01-01
Roger Krone,881227,Education,International Society of Six Sigma Professionals (ISSSP),815982,Six Sigma Green Belt (SSGB),
Roger Krone,881227,Education,Harvard Business School,63013,MBA,1986-01-01
Vice Admiral John Lockard,881228,Education,Naval Postgraduate School (NPS),61404,BS,1971-01-01
Vice Admiral John Lockard,881228,Education,Naval War College,79927,Attended,1974-01-01
Dennis Muilenburg,881229,Education,Iowa State University,1246304,BS,1986-01-01
Dennis Muilenburg,881229,Education,University of Washington,62785,MS,1990-01-01
Chris Raymond,881230,Education,University of Illinois (UIC),62367,Bachelor's Degree,
Chris Raymond,881230,Education,University of California Irvine,383127,Certificate,
Chris Raymond,881230,Education,University of California Irvine,383127,MBA,
Chris Raymond,881230,Education,Defense Acquisition University (DAU),742233,Graduated,
Randy Simons,881231,Education,Oklahoma State University,61531,Bachelor's Degree,
Randy Simons,881231,Education,Oklahoma State University,61531,Masters Degree,
Randy Simons,881231,Professional Qualifications,American Institute of Certified Public Accountants (AICPA),54373,Certified Public Accountant,1976-01-01
Tim Copes,881232,Education,Massachusetts Institute of Technology (MIT),40436,MS,1992-01-01
